record_type,time_s,raw_on,raw_off,net_raw,avg_on,avg_off,net_avg,baseline,change,label,raw_line
info,,,,,,,,,,,,"SYSTEM,Baseline collecting... Keep sensor on empty floor (5s)."
info,,,,,,,,,,,,"SYSTEM,START received"
baseline,,506,966.0,460.0,508.2,965.3,457.1,,,,"BASELINE,506,966.0,460.0,508.2,965.3,457.1"
baseline,,508,963.5,455.5,508.0,964.6,456.6,,,,"BASELINE,508,963.5,455.5,508.0,964.6,456.6"
baseline,,509,963.0,454.0,507.8,964.2,456.4,,,,"BASELINE,509,963.0,454.0,507.8,964.2,456.4"
baseline,,510,963.0,453.0,508.0,963.9,455.9,,,,"BASELINE,510,963.0,453.0,508.0,963.9,455.9"
baseline,,506,964.5,458.5,507.8,964.0,456.2,,,,"BASELINE,506,964.5,458.5,507.8,964.0,456.2"
baseline,,502,965.0,463.0,507.0,963.8,456.8,,,,"BASELINE,502,965.0,463.0,507.0,963.8,456.8"
baseline,,511,960.5,449.5,507.6,963.2,455.6,,,,"BASELINE,511,960.5,449.5,507.6,963.2,455.6"
baseline,,509,963.5,454.5,507.6,963.3,455.7,,,,"BASELINE,509,963.5,454.5,507.6,963.3,455.7"
baseline,,509,963.0,454.0,507.4,963.3,455.9,,,,"BASELINE,509,963.0,454.0,507.4,963.3,455.9"
baseline,,511,963.0,452.0,508.4,963.0,454.6,,,,"BASELINE,511,963.0,452.0,508.4,963.0,454.6"
baseline,,506,964.0,458.0,509.2,962.8,453.6,,,,"BASELINE,506,964.0,458.0,509.2,962.8,453.6"
baseline,,506,964.5,458.5,508.2,963.6,455.4,,,,"BASELINE,506,964.5,458.5,508.2,963.6,455.4"
baseline,,506,964.0,458.0,507.6,963.7,456.1,,,,"BASELINE,506,964.0,458.0,507.6,963.7,456.1"
baseline,,507,962.0,455.0,507.2,963.5,456.3,,,,"BASELINE,507,962.0,455.0,507.2,963.5,456.3"
baseline,,510,961.0,451.0,507.0,963.1,456.1,,,,"BASELINE,510,961.0,451.0,507.0,963.1,456.1"
baseline,,511,962.0,451.0,508.0,962.7,454.7,,,,"BASELINE,511,962.0,451.0,508.0,962.7,454.7"
baseline,,505,965.5,460.5,507.8,962.9,455.1,,,,"BASELINE,505,965.5,460.5,507.8,962.9,455.1"
baseline,,505,964.5,459.5,507.6,963.0,455.4,,,,"BASELINE,505,964.5,459.5,507.6,963.0,455.4"
baseline,,512,960.5,448.5,508.6,962.7,454.1,,,,"BASELINE,512,960.5,448.5,508.6,962.7,454.1"
baseline,,511,963.0,452.0,508.8,963.1,454.3,,,,"BASELINE,511,963.0,452.0,508.8,963.1,454.3"
baseline,,508,962.5,454.5,508.2,963.2,455.0,,,,"BASELINE,508,962.5,454.5,508.2,963.2,455.0"
baseline,,507,962.5,455.5,508.6,962.6,454.0,,,,"BASELINE,507,962.5,455.5,508.6,962.6,454.0"
baseline,,508,962.0,454.0,509.2,962.1,452.9,,,,"BASELINE,508,962.0,454.0,509.2,962.1,452.9"
baseline,,509,964.5,455.5,508.6,962.9,454.3,,,,"BASELINE,509,964.5,455.5,508.6,962.9,454.3"
baseline,,507,962.5,455.5,507.8,962.8,455.0,,,,"BASELINE,507,962.5,455.5,507.8,962.8,455.0"
baseline,,507,963.0,456.0,507.6,962.9,455.3,,,,"BASELINE,507,963.0,456.0,507.6,962.9,455.3"
baseline,,505,964.5,459.5,507.2,963.3,456.1,,,,"BASELINE,505,964.5,459.5,507.2,963.3,456.1"
baseline,,503,965.5,462.5,506.2,964.0,457.8,,,,"BASELINE,503,965.5,462.5,506.2,964.0,457.8"
baseline,,502,965.0,463.0,504.8,964.1,459.3,,,,"BASELINE,502,965.0,463.0,504.8,964.1,459.3"
baseline,,505,962.5,457.5,504.4,964.1,459.7,,,,"BASELINE,505,962.5,457.5,504.4,964.1,459.7"
baseline,,506,963.0,457.0,504.2,964.1,459.9,,,,"BASELINE,506,963.0,457.0,504.2,964.1,459.9"
baseline,,506,963.0,457.0,504.4,963.8,459.4,,,,"BASELINE,506,963.0,457.0,504.4,963.8,459.4"
baseline,,508,962.5,454.5,505.4,963.2,457.8,,,,"BASELINE,508,962.5,454.5,505.4,963.2,457.8"
baseline,,504,964.5,460.5,505.8,963.1,457.3,,,,"BASELINE,504,964.5,460.5,505.8,963.1,457.3"
baseline,,502,965.5,463.5,505.2,963.7,458.5,,,,"BASELINE,502,965.5,463.5,505.2,963.7,458.5"
baseline,,502,968.0,466.0,504.4,964.7,460.3,,,,"BASELINE,502,968.0,466.0,504.4,964.7,460.3"
baseline,,503,965.5,462.5,503.8,965.2,461.4,,,,"BASELINE,503,965.5,462.5,503.8,965.2,461.4"
baseline,,503,965.0,462.0,502.8,965.7,462.9,,,,"BASELINE,503,965.0,462.0,502.8,965.7,462.9"
baseline,,507,962.5,455.5,503.4,965.3,461.9,,,,"BASELINE,507,962.5,455.5,503.4,965.3,461.9"
baseline,,505,965.0,460.0,504.0,965.2,461.2,,,,"BASELINE,505,965.0,460.0,504.0,965.2,461.2"
baseline,,508,962.5,454.5,505.2,964.1,458.9,,,,"BASELINE,508,962.5,454.5,505.2,964.1,458.9"
info,,,,,,,,,,,,"SYSTEM,Baseline done,456.85"
data,0.0,503,966.0,463.0,505.8,963.7,457.9,456.8,1.1,Floor,"DATA,0.0,503,966.0,463.0,505.8,963.7,457.9,456.8,1.1,Floor"
data,0.1,503,966.5,463.5,505.0,964.5,459.5,456.8,2.7,Floor,"DATA,0.1,503,966.5,463.5,505.0,964.5,459.5,456.8,2.7,Floor"
