record_type,time_s,raw_on,raw_off,net_raw,avg_on,avg_off,net_avg,baseline,change,label,raw_line
info,,,,,,,,,,,,"SYSTEM,Baseline collecting... Keep sensor on empty floor (5s)."
info,,,,,,,,,,,,"SYSTEM,START received"
baseline,,580,992.5,412.5,580.4,992.7,412.3,,,,"BASELINE,580,992.5,412.5,580.4,992.7,412.3"
baseline,,580,992.0,412.0,580.2,992.6,412.4,,,,"BASELINE,580,992.0,412.0,580.2,992.6,412.4"
baseline,,583,992.5,409.5,580.6,992.5,411.9,,,,"BASELINE,583,992.5,409.5,580.6,992.5,411.9"
baseline,,582,992.5,410.5,581.0,992.4,411.4,,,,"BASELINE,582,992.5,410.5,581.0,992.4,411.4"
baseline,,584,992.5,408.5,581.8,992.4,410.6,,,,"BASELINE,584,992.5,408.5,581.8,992.4,410.6"
baseline,,583,992.5,409.5,582.4,992.4,410.0,,,,"BASELINE,583,992.5,409.5,582.4,992.4,410.0"
baseline,,584,992.5,408.5,583.2,992.5,409.3,,,,"BASELINE,584,992.5,408.5,583.2,992.5,409.3"
baseline,,585,993.0,408.0,583.6,992.6,409.0,,,,"BASELINE,585,993.0,408.0,583.6,992.6,409.0"
baseline,,585,992.0,407.0,584.2,992.5,408.3,,,,"BASELINE,585,992.0,407.0,584.2,992.5,408.3"
baseline,,585,992.5,407.5,584.4,992.5,408.1,,,,"BASELINE,585,992.5,407.5,584.4,992.5,408.1"
baseline,,585,993.0,408.0,584.8,992.6,407.8,,,,"BASELINE,585,993.0,408.0,584.8,992.6,407.8"
baseline,,585,992.0,407.0,585.0,992.5,407.5,,,,"BASELINE,585,992.0,407.0,585.0,992.5,407.5"
baseline,,585,992.0,407.0,585.0,992.3,407.3,,,,"BASELINE,585,992.0,407.0,585.0,992.3,407.3"
baseline,,584,992.0,408.0,584.8,992.3,407.5,,,,"BASELINE,584,992.0,408.0,584.8,992.3,407.5"
baseline,,585,991.5,406.5,584.8,992.1,407.3,,,,"BASELINE,585,991.5,406.5,584.8,992.1,407.3"
baseline,,585,991.5,406.5,584.8,991.8,407.0,,,,"BASELINE,585,991.5,406.5,584.8,991.8,407.0"
baseline,,584,992.0,408.0,584.6,991.8,407.2,,,,"BASELINE,584,992.0,408.0,584.6,991.8,407.2"
baseline,,584,991.5,407.5,584.4,991.7,407.3,,,,"BASELINE,584,991.5,407.5,584.4,991.7,407.3"
baseline,,584,991.5,407.5,584.4,991.6,407.2,,,,"BASELINE,584,991.5,407.5,584.4,991.6,407.2"
baseline,,584,991.0,407.0,584.2,991.5,407.3,,,,"BASELINE,584,991.0,407.0,584.2,991.5,407.3"
baseline,,584,991.5,407.5,584.0,991.5,407.5,,,,"BASELINE,584,991.5,407.5,584.0,991.5,407.5"
baseline,,584,991.0,407.0,584.0,991.3,407.3,,,,"BASELINE,584,991.0,407.0,584.0,991.3,407.3"
baseline,,584,991.5,407.5,584.0,991.3,407.3,,,,"BASELINE,584,991.5,407.5,584.0,991.3,407.3"
baseline,,584,991.0,407.0,584.0,991.2,407.2,,,,"BASELINE,584,991.0,407.0,584.0,991.2,407.2"
baseline,,584,991.5,407.5,584.0,991.3,407.3,,,,"BASELINE,584,991.5,407.5,584.0,991.3,407.3"
baseline,,584,992.0,408.0,584.0,991.4,407.4,,,,"BASELINE,584,992.0,408.0,584.0,991.4,407.4"
baseline,,585,991.5,406.5,584.2,991.5,407.3,,,,"BASELINE,585,991.5,406.5,584.2,991.5,407.3"
baseline,,585,991.5,406.5,584.4,991.5,407.1,,,,"BASELINE,585,991.5,406.5,584.4,991.5,407.1"
baseline,,584,991.5,407.5,584.4,991.6,407.2,,,,"BASELINE,584,991.5,407.5,584.4,991.6,407.2"
baseline,,584,991.5,407.5,584.4,991.6,407.2,,,,"BASELINE,584,991.5,407.5,584.4,991.6,407.2"
baseline,,585,991.0,406.0,584.6,991.4,406.8,,,,"BASELINE,585,991.0,406.0,584.6,991.4,406.8"
baseline,,585,992.0,407.0,584.6,991.5,406.9,,,,"BASELINE,585,992.0,407.0,584.6,991.5,406.9"
baseline,,584,992.0,408.0,584.4,991.6,407.2,,,,"BASELINE,584,992.0,408.0,584.4,991.6,407.2"
baseline,,585,991.5,406.5,584.6,991.6,407.0,,,,"BASELINE,585,991.5,406.5,584.6,991.6,407.0"
baseline,,585,992.0,407.0,584.8,991.7,406.9,,,,"BASELINE,585,992.0,407.0,584.8,991.7,406.9"
baseline,,584,992.0,408.0,584.6,991.9,407.3,,,,"BASELINE,584,992.0,408.0,584.6,991.9,407.3"
baseline,,584,992.0,408.0,584.4,991.9,407.5,,,,"BASELINE,584,992.0,408.0,584.4,991.9,407.5"
baseline,,585,991.5,406.5,584.6,991.8,407.2,,,,"BASELINE,585,991.5,406.5,584.6,991.8,407.2"
baseline,,584,992.0,408.0,584.4,991.9,407.5,,,,"BASELINE,584,992.0,408.0,584.4,991.9,407.5"
baseline,,585,992.0,407.0,584.4,991.9,407.5,,,,"BASELINE,585,992.0,407.0,584.4,991.9,407.5"
baseline,,585,992.0,407.0,584.6,991.9,407.3,,,,"BASELINE,585,992.0,407.0,584.6,991.9,407.3"
baseline,,584,992.5,408.5,584.6,992.0,407.4,,,,"BASELINE,584,992.5,408.5,584.6,992.0,407.4"
baseline,,584,992.0,408.0,584.4,992.1,407.7,,,,"BASELINE,584,992.0,408.0,584.4,992.1,407.7"
baseline,,585,991.5,406.5,584.6,992.0,407.4,,,,"BASELINE,585,991.5,406.5,584.6,992.0,407.4"
baseline,,585,992.0,407.0,584.6,992.0,407.4,,,,"BASELINE,585,992.0,407.0,584.6,992.0,407.4"
