record_type,time_s,raw_on,raw_off,net_raw,avg_on,avg_off,net_avg,baseline,change,label,raw_line
info,,,,,,,,,,,,"SYSTEM,Baseline collecting... Keep sensor on empty floor (5s)."
info,,,,,,,,,,,,"SYSTEM,START received"
baseline,,428,957.0,529.0,427.0,957.1,530.1,,,,"BASELINE,428,957.0,529.0,427.0,957.1,530.1"
baseline,,430,957.0,527.0,428.0,957.0,529.0,,,,"BASELINE,430,957.0,527.0,428.0,957.0,529.0"
baseline,,431,957.0,526.0,429.0,957.0,528.0,,,,"BASELINE,431,957.0,526.0,429.0,957.0,528.0"
baseline,,432,957.0,525.0,429.8,957.0,527.2,,,,"BASELINE,432,957.0,525.0,429.8,957.0,527.2"
baseline,,431,957.0,526.0,430.4,957.0,526.6,,,,"BASELINE,431,957.0,526.0,430.4,957.0,526.6"
baseline,,432,957.0,525.0,431.2,957.0,525.8,,,,"BASELINE,432,957.0,525.0,431.2,957.0,525.8"
baseline,,432,957.0,525.0,431.6,957.0,525.4,,,,"BASELINE,432,957.0,525.0,431.6,957.0,525.4"
baseline,,432,957.0,525.0,431.8,957.0,525.2,,,,"BASELINE,432,957.0,525.0,431.8,957.0,525.2"
baseline,,432,957.0,525.0,431.8,957.0,525.2,,,,"BASELINE,432,957.0,525.0,431.8,957.0,525.2"
baseline,,433,957.0,524.0,432.2,957.0,524.8,,,,"BASELINE,433,957.0,524.0,432.2,957.0,524.8"
baseline,,433,957.0,524.0,432.4,957.0,524.6,,,,"BASELINE,433,957.0,524.0,432.4,957.0,524.6"
baseline,,434,957.0,523.0,432.8,957.0,524.2,,,,"BASELINE,434,957.0,523.0,432.8,957.0,524.2"
baseline,,433,957.0,524.0,433.0,957.0,524.0,,,,"BASELINE,433,957.0,524.0,433.0,957.0,524.0"
baseline,,434,957.0,523.0,433.4,957.0,523.6,,,,"BASELINE,434,957.0,523.0,433.4,957.0,523.6"
baseline,,434,957.0,523.0,433.6,957.0,523.4,,,,"BASELINE,434,957.0,523.0,433.6,957.0,523.4"
baseline,,434,957.0,523.0,433.8,957.0,523.2,,,,"BASELINE,434,957.0,523.0,433.8,957.0,523.2"
baseline,,434,957.0,523.0,433.8,957.0,523.2,,,,"BASELINE,434,957.0,523.0,433.8,957.0,523.2"
baseline,,434,957.0,523.0,434.0,957.0,523.0,,,,"BASELINE,434,957.0,523.0,434.0,957.0,523.0"
baseline,,434,957.0,523.0,434.0,957.0,523.0,,,,"BASELINE,434,957.0,523.0,434.0,957.0,523.0"
baseline,,433,957.0,524.0,433.8,957.0,523.2,,,,"BASELINE,433,957.0,524.0,433.8,957.0,523.2"
baseline,,434,957.0,523.0,433.8,957.0,523.2,,,,"BASELINE,434,957.0,523.0,433.8,957.0,523.2"
baseline,,433,957.0,524.0,433.6,957.0,523.4,,,,"BASELINE,433,957.0,524.0,433.6,957.0,523.4"
baseline,,434,957.0,523.0,433.6,957.0,523.4,,,,"BASELINE,434,957.0,523.0,433.6,957.0,523.4"
baseline,,434,957.0,523.0,433.6,957.0,523.4,,,,"BASELINE,434,957.0,523.0,433.6,957.0,523.4"
baseline,,434,957.0,523.0,433.8,957.0,523.2,,,,"BASELINE,434,957.0,523.0,433.8,957.0,523.2"
baseline,,434,956.5,522.5,433.8,956.9,523.1,,,,"BASELINE,434,956.5,522.5,433.8,956.9,523.1"
baseline,,434,956.5,522.5,434.0,956.8,522.8,,,,"BASELINE,434,956.5,522.5,434.0,956.8,522.8"
baseline,,434,957.0,523.0,434.0,956.8,522.8,,,,"BASELINE,434,957.0,523.0,434.0,956.8,522.8"
baseline,,434,957.0,523.0,434.0,956.8,522.8,,,,"BASELINE,434,957.0,523.0,434.0,956.8,522.8"
baseline,,434,957.0,523.0,434.0,956.8,522.8,,,,"BASELINE,434,957.0,523.0,434.0,956.8,522.8"
baseline,,434,957.0,523.0,434.0,956.9,522.9,,,,"BASELINE,434,957.0,523.0,434.0,956.9,522.9"
baseline,,434,957.5,523.5,434.0,957.1,523.1,,,,"BASELINE,434,957.5,523.5,434.0,957.1,523.1"
baseline,,434,957.0,523.0,434.0,957.1,523.1,,,,"BASELINE,434,957.0,523.0,434.0,957.1,523.1"
baseline,,434,957.0,523.0,434.0,957.1,523.1,,,,"BASELINE,434,957.0,523.0,434.0,957.1,523.1"
baseline,,434,957.0,523.0,434.0,957.1,523.1,,,,"BASELINE,434,957.0,523.0,434.0,957.1,523.1"
baseline,,434,957.5,523.5,434.0,957.2,523.2,,,,"BASELINE,434,957.5,523.5,434.0,957.2,523.2"
baseline,,435,957.5,522.5,434.2,957.2,523.0,,,,"BASELINE,435,957.5,522.5,434.2,957.2,523.0"
baseline,,435,957.0,522.0,434.4,957.2,522.8,,,,"BASELINE,435,957.0,522.0,434.4,957.2,522.8"
info,,,,,,,,,,,,[SYSTEM] Camera index 1 opened via DEFAULT: 1280x720.
info,,,,,,,,,,,,[SYSTEM] Camera preview started: index 1
baseline,,434,957.5,523.5,434.4,957.3,522.9,,,,"BASELINE,434,957.5,523.5,434.4,957.3,522.9"
baseline,,434,957.5,523.5,434.4,957.4,523.0,,,,"BASELINE,434,957.5,523.5,434.4,957.4,523.0"
baseline,,434,958.0,524.0,434.4,957.5,523.1,,,,"BASELINE,434,958.0,524.0,434.4,957.5,523.1"
baseline,,434,958.0,524.0,434.2,957.6,523.4,,,,"BASELINE,434,958.0,524.0,434.2,957.6,523.4"
baseline,,434,958.0,524.0,434.0,957.8,523.8,,,,"BASELINE,434,958.0,524.0,434.0,957.8,523.8"
baseline,,434,958.0,524.0,434.0,957.9,523.9,,,,"BASELINE,434,958.0,524.0,434.0,957.9,523.9"
