record_type,time_s,raw_on,raw_off,net_raw,avg_on,avg_off,net_avg,baseline,change,label,raw_line
info,,,,,,,,,,,,"SYSTEM,Baseline collecting... Keep sensor on empty floor (5s)."
info,,,,,,,,,,,,"SYSTEM,START received"
baseline,,508,1023.0,515.0,508.6,1023.0,514.4,,,,"BASELINE,508,1023.0,515.0,508.6,1023.0,514.4"
baseline,,509,1023.0,514.0,508.6,1023.0,514.4,,,,"BASELINE,509,1023.0,514.0,508.6,1023.0,514.4"
baseline,,509,1023.0,514.0,508.8,1023.0,514.2,,,,"BASELINE,509,1023.0,514.0,508.8,1023.0,514.2"
baseline,,508,1023.0,515.0,508.6,1023.0,514.4,,,,"BASELINE,508,1023.0,515.0,508.6,1023.0,514.4"
baseline,,508,1023.0,515.0,508.4,1023.0,514.6,,,,"BASELINE,508,1023.0,515.0,508.4,1023.0,514.6"
baseline,,507,1023.0,516.0,508.2,1023.0,514.8,,,,"BASELINE,507,1023.0,516.0,508.2,1023.0,514.8"
baseline,,507,1023.0,516.0,507.8,1023.0,515.2,,,,"BASELINE,507,1023.0,516.0,507.8,1023.0,515.2"
baseline,,507,1023.0,516.0,507.4,1023.0,515.6,,,,"BASELINE,507,1023.0,516.0,507.4,1023.0,515.6"
baseline,,507,1023.0,516.0,507.2,1023.0,515.8,,,,"BASELINE,507,1023.0,516.0,507.2,1023.0,515.8"
baseline,,506,1023.0,517.0,506.8,1023.0,516.2,,,,"BASELINE,506,1023.0,517.0,506.8,1023.0,516.2"
baseline,,507,1023.0,516.0,506.8,1023.0,516.2,,,,"BASELINE,507,1023.0,516.0,506.8,1023.0,516.2"
baseline,,506,1023.0,517.0,506.6,1023.0,516.4,,,,"BASELINE,506,1023.0,517.0,506.6,1023.0,516.4"
baseline,,507,1023.0,516.0,506.6,1023.0,516.4,,,,"BASELINE,507,1023.0,516.0,506.6,1023.0,516.4"
baseline,,508,1023.0,515.0,506.8,1023.0,516.2,,,,"BASELINE,508,1023.0,515.0,506.8,1023.0,516.2"
baseline,,507,1023.0,516.0,507.0,1023.0,516.0,,,,"BASELINE,507,1023.0,516.0,507.0,1023.0,516.0"
baseline,,507,1023.0,516.0,507.0,1023.0,516.0,,,,"BASELINE,507,1023.0,516.0,507.0,1023.0,516.0"
baseline,,506,1023.0,517.0,507.0,1023.0,516.0,,,,"BASELINE,506,1023.0,517.0,507.0,1023.0,516.0"
baseline,,507,1023.0,516.0,507.0,1023.0,516.0,,,,"BASELINE,507,1023.0,516.0,507.0,1023.0,516.0"
baseline,,507,1023.0,516.0,506.8,1023.0,516.2,,,,"BASELINE,507,1023.0,516.0,506.8,1023.0,516.2"
baseline,,506,1023.0,517.0,506.6,1023.0,516.4,,,,"BASELINE,506,1023.0,517.0,506.6,1023.0,516.4"
baseline,,506,1023.0,517.0,506.4,1023.0,516.6,,,,"BASELINE,506,1023.0,517.0,506.4,1023.0,516.6"
baseline,,506,1023.0,517.0,506.4,1023.0,516.6,,,,"BASELINE,506,1023.0,517.0,506.4,1023.0,516.6"
baseline,,506,1023.0,517.0,506.2,1023.0,516.8,,,,"BASELINE,506,1023.0,517.0,506.2,1023.0,516.8"
baseline,,506,1023.0,517.0,506.0,1023.0,517.0,,,,"BASELINE,506,1023.0,517.0,506.0,1023.0,517.0"
baseline,,506,1023.0,517.0,506.0,1023.0,517.0,,,,"BASELINE,506,1023.0,517.0,506.0,1023.0,517.0"
baseline,,507,1023.0,516.0,506.2,1023.0,516.8,,,,"BASELINE,507,1023.0,516.0,506.2,1023.0,516.8"
baseline,,507,1023.0,516.0,506.4,1023.0,516.6,,,,"BASELINE,507,1023.0,516.0,506.4,1023.0,516.6"
baseline,,507,1023.0,516.0,506.6,1023.0,516.4,,,,"BASELINE,507,1023.0,516.0,506.6,1023.0,516.4"
baseline,,507,1023.0,516.0,506.8,1023.0,516.2,,,,"BASELINE,507,1023.0,516.0,506.8,1023.0,516.2"
baseline,,506,1023.0,517.0,506.8,1023.0,516.2,,,,"BASELINE,506,1023.0,517.0,506.8,1023.0,516.2"
baseline,,505,1023.0,518.0,506.4,1023.0,516.6,,,,"BASELINE,505,1023.0,518.0,506.4,1023.0,516.6"
baseline,,505,1023.0,518.0,506.0,1023.0,517.0,,,,"BASELINE,505,1023.0,518.0,506.0,1023.0,517.0"
baseline,,506,1023.0,517.0,505.8,1023.0,517.2,,,,"BASELINE,506,1023.0,517.0,505.8,1023.0,517.2"
baseline,,506,1023.0,517.0,505.6,1023.0,517.4,,,,"BASELINE,506,1023.0,517.0,505.6,1023.0,517.4"
baseline,,506,1023.0,517.0,505.6,1023.0,517.4,,,,"BASELINE,506,1023.0,517.0,505.6,1023.0,517.4"
info,,,,,,,,,,,,[SYSTEM] Camera index 1 opened via DEFAULT: 1280x720.
info,,,,,,,,,,,,[SYSTEM] Camera preview started: index 1
baseline,,506,1023.0,517.0,505.8,1023.0,517.2,,,,"BASELINE,506,1023.0,517.0,505.8,1023.0,517.2"
baseline,,506,1023.0,517.0,506.0,1023.0,517.0,,,,"BASELINE,506,1023.0,517.0,506.0,1023.0,517.0"
baseline,,505,1023.0,518.0,505.8,1023.0,517.2,,,,"BASELINE,505,1023.0,518.0,505.8,1023.0,517.2"
baseline,,506,1023.0,517.0,505.8,1023.0,517.2,,,,"BASELINE,506,1023.0,517.0,505.8,1023.0,517.2"
baseline,,505,1023.0,518.0,505.6,1023.0,517.4,,,,"BASELINE,505,1023.0,518.0,505.6,1023.0,517.4"
baseline,,506,1023.0,517.0,505.6,1023.0,517.4,,,,"BASELINE,506,1023.0,517.0,505.6,1023.0,517.4"
