record_type,time_s,raw_on,raw_off,net_raw,avg_on,avg_off,net_avg,baseline,change,label,raw_line
info,,,,,,,,,,,,"SYSTEM,Baseline collecting... Keep sensor on empty floor (5s)."
info,,,,,,,,,,,,"SYSTEM,START received"
baseline,,521,964.5,443.5,521.6,965.9,444.3,,,,"BASELINE,521,964.5,443.5,521.6,965.9,444.3"
baseline,,522,965.0,443.0,521.2,966.0,444.8,,,,"BASELINE,522,965.0,443.0,521.2,966.0,444.8"
baseline,,523,964.5,441.5,521.4,965.7,444.3,,,,"BASELINE,523,964.5,441.5,521.4,965.7,444.3"
baseline,,523,962.0,439.0,521.6,964.9,443.3,,,,"BASELINE,523,962.0,439.0,521.6,964.9,443.3"
baseline,,523,963.0,440.0,522.4,963.8,441.4,,,,"BASELINE,523,963.0,440.0,522.4,963.8,441.4"
baseline,,520,966.0,446.0,522.2,964.1,441.9,,,,"BASELINE,520,966.0,446.0,522.2,964.1,441.9"
baseline,,518,965.5,447.5,521.4,964.2,442.8,,,,"BASELINE,518,965.5,447.5,521.4,964.2,442.8"
baseline,,515,967.0,452.0,519.8,964.7,444.9,,,,"BASELINE,515,967.0,452.0,519.8,964.7,444.9"
baseline,,518,965.5,447.5,518.8,965.4,446.6,,,,"BASELINE,518,965.5,447.5,518.8,965.4,446.6"
baseline,,520,965.5,445.5,518.2,965.9,447.7,,,,"BASELINE,520,965.5,445.5,518.2,965.9,447.7"
baseline,,518,964.5,446.5,517.8,965.6,447.8,,,,"BASELINE,518,964.5,446.5,517.8,965.6,447.8"
baseline,,519,963.5,444.5,518.0,965.2,447.2,,,,"BASELINE,519,963.5,444.5,518.0,965.2,447.2"
baseline,,522,963.5,441.5,519.4,964.5,445.1,,,,"BASELINE,522,963.5,441.5,519.4,964.5,445.1"
baseline,,521,963.0,442.0,520.0,964.0,444.0,,,,"BASELINE,521,963.0,442.0,520.0,964.0,444.0"
baseline,,516,966.5,450.5,519.2,964.2,445.0,,,,"BASELINE,516,966.5,450.5,519.2,964.2,445.0"
baseline,,514,966.5,452.5,518.4,964.6,446.2,,,,"BASELINE,514,966.5,452.5,518.4,964.6,446.2"
baseline,,518,965.5,447.5,518.2,965.0,446.8,,,,"BASELINE,518,965.5,447.5,518.2,965.0,446.8"
baseline,,514,967.0,453.0,516.6,965.7,449.1,,,,"BASELINE,514,967.0,453.0,516.6,965.7,449.1"
baseline,,519,964.5,445.5,516.2,966.0,449.8,,,,"BASELINE,519,964.5,445.5,516.2,966.0,449.8"
baseline,,520,962.0,442.0,517.0,965.1,448.1,,,,"BASELINE,520,962.0,442.0,517.0,965.1,448.1"
baseline,,519,964.5,445.5,518.0,964.7,446.7,,,,"BASELINE,519,964.5,445.5,518.0,964.7,446.7"
baseline,,517,966.0,449.0,517.8,964.8,447.0,,,,"BASELINE,517,966.0,449.0,517.8,964.8,447.0"
baseline,,518,965.5,447.5,518.6,964.5,445.9,,,,"BASELINE,518,965.5,447.5,518.6,964.5,445.9"
baseline,,518,966.0,448.0,518.4,964.8,446.4,,,,"BASELINE,518,966.0,448.0,518.4,964.8,446.4"
baseline,,518,963.5,445.5,518.0,965.1,447.1,,,,"BASELINE,518,963.5,445.5,518.0,965.1,447.1"
baseline,,522,962.0,440.0,518.6,964.6,446.0,,,,"BASELINE,522,962.0,440.0,518.6,964.6,446.0"
baseline,,519,964.0,445.0,519.0,964.2,445.2,,,,"BASELINE,519,964.0,445.0,519.0,964.2,445.2"
baseline,,515,967.5,452.5,518.4,964.6,446.2,,,,"BASELINE,515,967.5,452.5,518.4,964.6,446.2"
baseline,,513,967.5,454.5,517.4,964.9,447.5,,,,"BASELINE,513,967.5,454.5,517.4,964.9,447.5"
baseline,,521,966.0,445.0,518.0,965.4,447.4,,,,"BASELINE,521,966.0,445.0,518.0,965.4,447.4"
baseline,,519,963.5,444.5,517.4,965.7,448.3,,,,"BASELINE,519,963.5,444.5,517.4,965.7,448.3"
baseline,,519,963.0,444.0,517.4,965.5,448.1,,,,"BASELINE,519,963.0,444.0,517.4,965.5,448.1"
baseline,,519,963.0,444.0,518.2,964.6,446.4,,,,"BASELINE,519,963.0,444.0,518.2,964.6,446.4"
baseline,,521,962.0,441.0,519.8,963.5,443.7,,,,"BASELINE,521,962.0,441.0,519.8,963.5,443.7"
baseline,,516,962.5,446.5,518.8,962.8,444.0,,,,"BASELINE,516,962.5,446.5,518.8,962.8,444.0"
baseline,,520,963.0,443.0,519.0,962.7,443.7,,,,"BASELINE,520,963.0,443.0,519.0,962.7,443.7"
baseline,,516,965.0,449.0,518.4,963.1,444.7,,,,"BASELINE,516,965.0,449.0,518.4,963.1,444.7"
baseline,,515,966.5,451.5,517.6,963.8,446.2,,,,"BASELINE,515,966.5,451.5,517.6,963.8,446.2"
baseline,,515,965.5,450.5,516.4,964.5,448.1,,,,"BASELINE,515,965.5,450.5,516.4,964.5,448.1"
baseline,,516,962.5,446.5,516.4,964.5,448.1,,,,"BASELINE,516,962.5,446.5,516.4,964.5,448.1"
baseline,,517,963.5,446.5,515.8,964.6,448.8,,,,"BASELINE,517,963.5,446.5,515.8,964.6,448.8"
info,,,,,,,,,,,,"SYSTEM,Baseline done,446.01"
data,0.0,516,965.5,449.5,516.6,964.2,447.6,446.0,1.6,Floor,"DATA,0.0,516,965.5,449.5,516.6,964.2,447.6,446.0,1.6,Floor"
data,0.1,519,963.0,444.0,517.4,963.7,446.3,446.0,0.3,Floor,"DATA,0.1,519,963.0,444.0,517.4,963.7,446.3,446.0,0.3,Floor"
