record_type,time_s,raw_on,raw_off,net_raw,avg_on,avg_off,net_avg,baseline,change,label,raw_line
info,,,,,,,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,,,,,,,START received
info,,,,,,,,,,,,Collecting baseline... RawAvg=497.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=498.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=498.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=499.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=499.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=500.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=499.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=499.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=499.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=499.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=499.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=500.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=500.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=501.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=501.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=499.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=498.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=497.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=497.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=497.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=498.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=500.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=501.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=501.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=501.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=500.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=500.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=500.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=500.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=501.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=501.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=501.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=501.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=499.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=498.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=498.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=499.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=499.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=500.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=502.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=502.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=503.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=504.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=505.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=505.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=505.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=505.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=504.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=503.40
info,,,,,,,,,,,,Baseline collection complete! Starting detection.
info,,,,,,,,,,,,Final Base Raw Average = 500.64
info,,,,,,,,,,,,--------------------------------------------------------------------------
info,,,,,,,,,,,,Time=0.1s | BaseRaw=500.6 | CurrentRaw=500.8 | Change=0.2 => Floor
info,,,,,,,,,,,,Time=0.2s | BaseRaw=500.6 | CurrentRaw=499.8 | Change=0.8 => Floor
info,,,,,,,,,,,,Time=0.3s | BaseRaw=500.6 | CurrentRaw=499.6 | Change=1.0 => Floor
info,,,,,,,,,,,,Time=0.4s | BaseRaw=500.6 | CurrentRaw=500.6 | Change=0.0 => Floor
info,,,,,,,,,,,,Time=0.5s | BaseRaw=500.6 | CurrentRaw=500.6 | Change=0.0 => Floor
info,,,,,,,,,,,,Time=0.6s | BaseRaw=500.6 | CurrentRaw=500.8 | Change=0.2 => Floor
info,,,,,,,,,,,,Time=0.7s | BaseRaw=500.6 | CurrentRaw=501.0 | Change=0.4 => Floor
info,,,,,,,,,,,,Time=0.8s | BaseRaw=500.6 | CurrentRaw=501.0 | Change=0.4 => Floor
info,,,,,,,,,,,,Time=0.9s | BaseRaw=500.6 | CurrentRaw=501.0 | Change=0.4 => Floor
info,,,,,,,,,,,,Time=1.0s | BaseRaw=500.6 | CurrentRaw=501.6 | Change=1.0 => Floor
info,,,,,,,,,,,,Time=1.1s | BaseRaw=500.6 | CurrentRaw=501.8 | Change=1.2 => Floor
info,,,,,,,,,,,,Time=1.2s | BaseRaw=500.6 | CurrentRaw=501.8 | Change=1.2 => Floor
info,,,,,,,,,,,,Time=1.3s | BaseRaw=500.6 | CurrentRaw=502.6 | Change=2.0 => Floor
info,,,,,,,,,,,,Time=1.4s | BaseRaw=500.6 | CurrentRaw=501.2 | Change=0.6 => Floor
info,,,,,,,,,,,,Time=1.5s | BaseRaw=500.6 | CurrentRaw=501.6 | Change=1.0 => Floor
info,,,,,,,,,,,,Time=1.6s | BaseRaw=500.6 | CurrentRaw=501.8 | Change=1.2 => Floor
info,,,,,,,,,,,,Time=1.7s | BaseRaw=500.6 | CurrentRaw=501.2 | Change=0.6 => Floor
info,,,,,,,,,,,,Time=1.8s | BaseRaw=500.6 | CurrentRaw=502.0 | Change=1.4 => Floor
info,,,,,,,,,,,,Time=1.9s | BaseRaw=500.6 | CurrentRaw=502.0 | Change=1.4 => Floor
info,,,,,,,,,,,,Time=2.0s | BaseRaw=500.6 | CurrentRaw=500.8 | Change=0.2 => Floor
info,,,,,,,,,,,,Time=2.1s | BaseRaw=500.6 | CurrentRaw=500.4 | Change=0.2 => Floor
info,,,,,,,,,,,,Time=2.2s | BaseRaw=500.6 | CurrentRaw=508.4 | Change=7.8 => Floor
info,,,,,,,,,,,,Time=2.3s | BaseRaw=500.6 | CurrentRaw=512.4 | Change=11.8 => Liquid
info,,,,,,,,,,,,Time=2.4s | BaseRaw=500.6 | CurrentRaw=519.0 | Change=18.4 => Liquid
info,,,,,,,,,,,,Time=2.5s | BaseRaw=500.6 | CurrentRaw=525.0 | Change=24.4 => Liquid
info,,,,,,,,,,,,Time=2.6s | BaseRaw=500.6 | CurrentRaw=530.8 | Change=30.2 => Liquid
info,,,,,,,,,,,,Time=2.7s | BaseRaw=500.6 | CurrentRaw=529.4 | Change=28.8 => Liquid
info,,,,,,,,,,,,Time=2.8s | BaseRaw=500.6 | CurrentRaw=529.6 | Change=29.0 => Liquid
info,,,,,,,,,,,,Time=2.9s | BaseRaw=500.6 | CurrentRaw=529.4 | Change=28.8 => Liquid
info,,,,,,,,,,,,Time=3.0s | BaseRaw=500.6 | CurrentRaw=528.6 | Change=28.0 => Liquid
info,,,,,,,,,,,,Time=3.1s | BaseRaw=500.6 | CurrentRaw=529.0 | Change=28.4 => Liquid
info,,,,,,,,,,,,Time=3.2s | BaseRaw=500.6 | CurrentRaw=527.2 | Change=26.6 => Liquid
info,,,,,,,,,,,,Time=3.3s | BaseRaw=500.6 | CurrentRaw=526.2 | Change=25.6 => Liquid
info,,,,,,,,,,,,Time=3.4s | BaseRaw=500.6 | CurrentRaw=524.8 | Change=24.2 => Liquid
info,,,,,,,,,,,,Time=3.5s | BaseRaw=500.6 | CurrentRaw=525.8 | Change=25.2 => Liquid
info,,,,,,,,,,,,Time=3.6s | BaseRaw=500.6 | CurrentRaw=524.4 | Change=23.8 => Liquid
info,,,,,,,,,,,,Time=3.7s | BaseRaw=500.6 | CurrentRaw=526.8 | Change=26.2 => Liquid
info,,,,,,,,,,,,Time=3.8s | BaseRaw=500.6 | CurrentRaw=526.4 | Change=25.8 => Liquid
info,,,,,,,,,,,,Time=3.9s | BaseRaw=500.6 | CurrentRaw=527.4 | Change=26.8 => Liquid
info,,,,,,,,,,,,Time=4.0s | BaseRaw=500.6 | CurrentRaw=526.4 | Change=25.8 => Liquid
info,,,,,,,,,,,,Time=4.1s | BaseRaw=500.6 | CurrentRaw=527.8 | Change=27.2 => Liquid
info,,,,,,,,,,,,Time=4.2s | BaseRaw=500.6 | CurrentRaw=525.6 | Change=25.0 => Liquid
info,,,,,,,,,,,,Time=4.3s | BaseRaw=500.6 | CurrentRaw=527.0 | Change=26.4 => Liquid
info,,,,,,,,,,,,Time=4.4s | BaseRaw=500.6 | CurrentRaw=526.4 | Change=25.8 => Liquid
info,,,,,,,,,,,,Time=4.5s | BaseRaw=500.6 | CurrentRaw=528.0 | Change=27.4 => Liquid
info,,,,,,,,,,,,Time=4.6s | BaseRaw=500.6 | CurrentRaw=525.8 | Change=25.2 => Liquid
info,,,,,,,,,,,,Time=4.7s | BaseRaw=500.6 | CurrentRaw=527.4 | Change=26.8 => Liquid
info,,,,,,,,,,,,Time=4.8s | BaseRaw=500.6 | CurrentRaw=526.6 | Change=26.0 => Liquid
info,,,,,,,,,,,,Time=4.9s | BaseRaw=500.6 | CurrentRaw=527.4 | Change=26.8 => Liquid
info,,,,,,,,,,,,Time=5.0s | BaseRaw=500.6 | CurrentRaw=526.2 | Change=25.6 => Liquid
info,,,,,,,,,,,,Time=5.1s | BaseRaw=500.6 | CurrentRaw=527.4 | Change=26.8 => Liquid
info,,,,,,,,,,,,Time=5.2s | BaseRaw=500.6 | CurrentRaw=527.4 | Change=26.8 => Liquid
info,,,,,,,,,,,,Time=5.3s | BaseRaw=500.6 | CurrentRaw=527.4 | Change=26.8 => Liquid
info,,,,,,,,,,,,Time=5.4s | BaseRaw=500.6 | CurrentRaw=527.0 | Change=26.4 => Liquid
info,,,,,,,,,,,,Time=5.5s | BaseRaw=500.6 | CurrentRaw=527.8 | Change=27.2 => Liquid
info,,,,,,,,,,,,Time=5.6s | BaseRaw=500.6 | CurrentRaw=528.0 | Change=27.4 => Liquid
info,,,,,,,,,,,,Time=5.7s | BaseRaw=500.6 | CurrentRaw=529.0 | Change=28.4 => Liquid
info,,,,,,,,,,,,Time=5.8s | BaseRaw=500.6 | CurrentRaw=529.4 | Change=28.8 => Liquid
info,,,,,,,,,,,,Time=5.9s | BaseRaw=500.6 | CurrentRaw=530.2 | Change=29.6 => Liquid
info,,,,,,,,,,,,Time=6.0s | BaseRaw=500.6 | CurrentRaw=527.8 | Change=27.2 => Liquid
info,,,,,,,,,,,,Time=6.1s | BaseRaw=500.6 | CurrentRaw=528.2 | Change=27.6 => Liquid
info,,,,,,,,,,,,Time=6.2s | BaseRaw=500.6 | CurrentRaw=520.6 | Change=20.0 => Liquid
info,,,,,,,,,,,,Time=6.3s | BaseRaw=500.6 | CurrentRaw=517.2 | Change=16.6 => Liquid
info,,,,,,,,,,,,Time=6.4s | BaseRaw=500.6 | CurrentRaw=512.0 | Change=11.4 => Liquid
info,,,,,,,,,,,,Time=6.5s | BaseRaw=500.6 | CurrentRaw=508.0 | Change=7.4 => Floor
info,,,,,,,,,,,,Time=6.6s | BaseRaw=500.6 | CurrentRaw=502.4 | Change=1.8 => Floor
info,,,,,,,,,,,,Time=6.7s | BaseRaw=500.6 | CurrentRaw=502.2 | Change=1.6 => Floor
info,,,,,,,,,,,,Time=6.8s | BaseRaw=500.6 | CurrentRaw=498.2 | Change=2.4 => Floor
info,,,,,,,,,,,,Time=6.9s | BaseRaw=500.6 | CurrentRaw=498.6 | Change=2.0 => Floor
info,,,,,,,,,,,,Time=7.0s | BaseRaw=500.6 | CurrentRaw=502.2 | Change=1.6 => Floor
info,,,,,,,,,,,,Time=7.1s | BaseRaw=500.6 | CurrentRaw=507.2 | Change=6.6 => Floor
info,,,,,,,,,,,,Time=7.2s | BaseRaw=500.6 | CurrentRaw=512.8 | Change=12.2 => Liquid
