record_type,time_s,raw_on,raw_off,net_raw,avg_on,avg_off,net_avg,baseline,change,label,raw_line
info,,,,,,,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,,,,,,,START received
info,,,,,,,,,,,,Collecting baseline... RawAvg=554.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=553.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=551.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=551.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=551.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=551.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=553.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=553.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=554.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=553.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=553.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=553.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=553.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=554.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=555.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=555.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=555.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=554.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=553.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=552.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=552.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=552.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=553.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=553.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=554.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=553.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=552.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=551.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=550.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=550.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=551.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=550.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=550.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=550.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=550.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=550.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=551.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=551.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=552.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=553.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=555.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=555.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=555.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=555.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=556.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=555.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=555.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=555.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=555.20
info,,,,,,,,,,,,Baseline collection complete! Starting detection.
info,,,,,,,,,,,,Final Base Raw Average = 553.19
info,,,,,,,,,,,,--------------------------------------------------------------------------
info,,,,,,,,,,,,Time=0.1s | BaseRaw=553.2 | CurrentRaw=552.8 | Change=0.4 => Floor
info,,,,,,,,,,,,Time=0.2s | BaseRaw=553.2 | CurrentRaw=551.8 | Change=1.4 => Floor
info,,,,,,,,,,,,Time=0.3s | BaseRaw=553.2 | CurrentRaw=552.2 | Change=1.0 => Floor
info,,,,,,,,,,,,Time=0.4s | BaseRaw=553.2 | CurrentRaw=552.8 | Change=0.4 => Floor
info,,,,,,,,,,,,Time=0.5s | BaseRaw=553.2 | CurrentRaw=553.0 | Change=0.2 => Floor
info,,,,,,,,,,,,Time=0.6s | BaseRaw=553.2 | CurrentRaw=553.6 | Change=0.4 => Floor
info,,,,,,,,,,,,Time=0.7s | BaseRaw=553.2 | CurrentRaw=554.4 | Change=1.2 => Floor
info,,,,,,,,,,,,Time=0.8s | BaseRaw=553.2 | CurrentRaw=554.0 | Change=0.8 => Floor
info,,,,,,,,,,,,Time=0.9s | BaseRaw=553.2 | CurrentRaw=554.0 | Change=0.8 => Floor
info,,,,,,,,,,,,Time=1.0s | BaseRaw=553.2 | CurrentRaw=553.8 | Change=0.6 => Floor
info,,,,,,,,,,,,Time=1.1s | BaseRaw=553.2 | CurrentRaw=554.0 | Change=0.8 => Floor
info,,,,,,,,,,,,Time=1.2s | BaseRaw=553.2 | CurrentRaw=553.6 | Change=0.4 => Floor
info,,,,,,,,,,,,Time=1.3s | BaseRaw=553.2 | CurrentRaw=552.6 | Change=0.6 => Floor
info,,,,,,,,,,,,Time=1.4s | BaseRaw=553.2 | CurrentRaw=551.2 | Change=2.0 => Floor
info,,,,,,,,,,,,Time=1.5s | BaseRaw=553.2 | CurrentRaw=551.8 | Change=1.4 => Floor
info,,,,,,,,,,,,Time=1.6s | BaseRaw=553.2 | CurrentRaw=551.6 | Change=1.6 => Floor
info,,,,,,,,,,,,Time=1.7s | BaseRaw=553.2 | CurrentRaw=552.6 | Change=0.6 => Floor
info,,,,,,,,,,,,Time=1.8s | BaseRaw=553.2 | CurrentRaw=552.8 | Change=0.4 => Floor
info,,,,,,,,,,,,Time=1.9s | BaseRaw=553.2 | CurrentRaw=553.8 | Change=0.6 => Floor
info,,,,,,,,,,,,Time=2.0s | BaseRaw=553.2 | CurrentRaw=553.2 | Change=0.0 => Floor
info,,,,,,,,,,,,Time=2.1s | BaseRaw=553.2 | CurrentRaw=553.2 | Change=0.0 => Floor
info,,,,,,,,,,,,Time=2.2s | BaseRaw=553.2 | CurrentRaw=553.6 | Change=0.4 => Floor
info,,,,,,,,,,,,Time=2.3s | BaseRaw=553.2 | CurrentRaw=554.0 | Change=0.8 => Floor
info,,,,,,,,,,,,Time=2.4s | BaseRaw=553.2 | CurrentRaw=553.2 | Change=0.0 => Floor
info,,,,,,,,,,,,Time=2.5s | BaseRaw=553.2 | CurrentRaw=553.0 | Change=0.2 => Floor
info,,,,,,,,,,,,Time=2.6s | BaseRaw=553.2 | CurrentRaw=553.4 | Change=0.2 => Floor
info,,,,,,,,,,,,Time=2.7s | BaseRaw=553.2 | CurrentRaw=552.4 | Change=0.8 => Floor
info,,,,,,,,,,,,Time=2.8s | BaseRaw=553.2 | CurrentRaw=552.0 | Change=1.2 => Floor
info,,,,,,,,,,,,Time=2.9s | BaseRaw=553.2 | CurrentRaw=552.4 | Change=0.8 => Floor
info,,,,,,,,,,,,Time=3.0s | BaseRaw=553.2 | CurrentRaw=553.0 | Change=0.2 => Floor
info,,,,,,,,,,,,Time=3.1s | BaseRaw=553.2 | CurrentRaw=552.8 | Change=0.4 => Floor
info,,,,,,,,,,,,Time=3.2s | BaseRaw=553.2 | CurrentRaw=552.4 | Change=0.8 => Floor
info,,,,,,,,,,,,Time=3.3s | BaseRaw=553.2 | CurrentRaw=552.2 | Change=1.0 => Floor
info,,,,,,,,,,,,Time=3.4s | BaseRaw=553.2 | CurrentRaw=553.4 | Change=0.2 => Floor
info,,,,,,,,,,,,Time=3.5s | BaseRaw=553.2 | CurrentRaw=553.0 | Change=0.2 => Floor
info,,,,,,,,,,,,Time=3.6s | BaseRaw=553.2 | CurrentRaw=553.6 | Change=0.4 => Floor
info,,,,,,,,,,,,Time=3.7s | BaseRaw=553.2 | CurrentRaw=554.0 | Change=0.8 => Floor
info,,,,,,,,,,,,Time=3.8s | BaseRaw=553.2 | CurrentRaw=554.4 | Change=1.2 => Floor
info,,,,,,,,,,,,Time=3.9s | BaseRaw=553.2 | CurrentRaw=554.0 | Change=0.8 => Floor
info,,,,,,,,,,,,Time=4.0s | BaseRaw=553.2 | CurrentRaw=553.8 | Change=0.6 => Floor
info,,,,,,,,,,,,Time=4.1s | BaseRaw=553.2 | CurrentRaw=552.8 | Change=0.4 => Floor
info,,,,,,,,,,,,Time=4.2s | BaseRaw=553.2 | CurrentRaw=553.0 | Change=0.2 => Floor
info,,,,,,,,,,,,Time=4.3s | BaseRaw=553.2 | CurrentRaw=552.6 | Change=0.6 => Floor
info,,,,,,,,,,,,Time=4.4s | BaseRaw=553.2 | CurrentRaw=551.6 | Change=1.6 => Floor
info,,,,,,,,,,,,Time=4.5s | BaseRaw=553.2 | CurrentRaw=552.2 | Change=1.0 => Floor
info,,,,,,,,,,,,Time=4.6s | BaseRaw=553.2 | CurrentRaw=553.4 | Change=0.2 => Floor
info,,,,,,,,,,,,Time=4.7s | BaseRaw=553.2 | CurrentRaw=553.0 | Change=0.2 => Floor
info,,,,,,,,,,,,Time=4.8s | BaseRaw=553.2 | CurrentRaw=552.2 | Change=1.0 => Floor
info,,,,,,,,,,,,Time=4.9s | BaseRaw=553.2 | CurrentRaw=552.0 | Change=1.2 => Floor
info,,,,,,,,,,,,Time=5.0s | BaseRaw=553.2 | CurrentRaw=551.8 | Change=1.4 => Floor
info,,,,,,,,,,,,Time=5.1s | BaseRaw=553.2 | CurrentRaw=551.0 | Change=2.2 => Floor
info,,,,,,,,,,,,Time=5.2s | BaseRaw=553.2 | CurrentRaw=549.6 | Change=3.6 => Floor
info,,,,,,,,,,,,Time=5.3s | BaseRaw=553.2 | CurrentRaw=550.4 | Change=2.8 => Floor
info,,,,,,,,,,,,Time=5.4s | BaseRaw=553.2 | CurrentRaw=551.0 | Change=2.2 => Floor
info,,,,,,,,,,,,Time=5.5s | BaseRaw=553.2 | CurrentRaw=551.2 | Change=2.0 => Floor
info,,,,,,,,,,,,Time=5.6s | BaseRaw=553.2 | CurrentRaw=550.6 | Change=2.6 => Floor
info,,,,,,,,,,,,Time=5.7s | BaseRaw=553.2 | CurrentRaw=551.2 | Change=2.0 => Floor
info,,,,,,,,,,,,Time=5.8s | BaseRaw=553.2 | CurrentRaw=552.6 | Change=0.6 => Floor
info,,,,,,,,,,,,Time=5.9s | BaseRaw=553.2 | CurrentRaw=552.8 | Change=0.4 => Floor
info,,,,,,,,,,,,Time=6.0s | BaseRaw=553.2 | CurrentRaw=550.2 | Change=3.0 => Floor
info,,,,,,,,,,,,Time=6.1s | BaseRaw=553.2 | CurrentRaw=550.6 | Change=2.6 => Floor
info,,,,,,,,,,,,Time=6.2s | BaseRaw=553.2 | CurrentRaw=554.8 | Change=1.6 => Floor
info,,,,,,,,,,,,Time=6.3s | BaseRaw=553.2 | CurrentRaw=558.6 | Change=5.4 => Floor
info,,,,,,,,,,,,Time=6.4s | BaseRaw=553.2 | CurrentRaw=564.2 | Change=11.0 => Liquid
info,,,,,,,,,,,,Time=6.5s | BaseRaw=553.2 | CurrentRaw=571.6 | Change=18.4 => Liquid
info,,,,,,,,,,,,Time=6.6s | BaseRaw=553.2 | CurrentRaw=575.6 | Change=22.4 => Liquid
info,,,,,,,,,,,,Time=6.7s | BaseRaw=553.2 | CurrentRaw=578.6 | Change=25.4 => Liquid
info,,,,,,,,,,,,Time=6.8s | BaseRaw=553.2 | CurrentRaw=578.4 | Change=25.2 => Liquid
info,,,,,,,,,,,,Time=6.9s | BaseRaw=553.2 | CurrentRaw=577.2 | Change=24.0 => Liquid
info,,,,,,,,,,,,Time=7.0s | BaseRaw=553.2 | CurrentRaw=577.0 | Change=23.8 => Liquid
info,,,,,,,,,,,,Time=7.1s | BaseRaw=553.2 | CurrentRaw=578.2 | Change=25.0 => Liquid
info,,,,,,,,,,,,Time=7.2s | BaseRaw=553.2 | CurrentRaw=577.6 | Change=24.4 => Liquid
info,,,,,,,,,,,,Time=7.3s | BaseRaw=553.2 | CurrentRaw=577.6 | Change=24.4 => Liquid
