record_type,time_s,raw_on,raw_off,net_raw,avg_on,avg_off,net_avg,baseline,change,label,raw_line
info,,,,,,,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,,,,,,,START received
info,,,,,,,,,,,,Collecting baseline... RawAvg=509.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=509.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=510.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=510.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=510.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=511.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=511.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=512.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=511.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=510.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=509.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=509.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=508.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=507.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=507.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=506.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=505.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=506.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=507.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=507.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=507.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=507.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=507.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=507.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=508.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=508.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=509.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=508.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=508.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=508.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=508.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=507.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=506.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=508.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=508.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=509.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=510.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=511.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=510.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=510.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=510.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=509.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=508.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=508.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=507.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=507.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=506.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=505.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=504.00
info,,,,,,,,,,,,Baseline collection complete! Starting detection.
info,,,,,,,,,,,,Final Base Raw Average = 508.58
info,,,,,,,,,,,,--------------------------------------------------------------------------
info,,,,,,,,,,,,Time=0.1s | BaseRaw=508.6 | CurrentRaw=503.8 | Change=4.8 => Floor
info,,,,,,,,,,,,Time=0.2s | BaseRaw=508.6 | CurrentRaw=503.6 | Change=5.0 => Floor
info,,,,,,,,,,,,Time=0.3s | BaseRaw=508.6 | CurrentRaw=504.6 | Change=4.0 => Floor
info,,,,,,,,,,,,Time=0.4s | BaseRaw=508.6 | CurrentRaw=505.6 | Change=3.0 => Floor
info,,,,,,,,,,,,Time=0.5s | BaseRaw=508.6 | CurrentRaw=504.2 | Change=4.4 => Floor
info,,,,,,,,,,,,Time=0.6s | BaseRaw=508.6 | CurrentRaw=503.4 | Change=5.2 => Floor
info,,,,,,,,,,,,Time=0.7s | BaseRaw=508.6 | CurrentRaw=503.4 | Change=5.2 => Floor
info,,,,,,,,,,,,Time=0.8s | BaseRaw=508.6 | CurrentRaw=503.6 | Change=5.0 => Floor
info,,,,,,,,,,,,Time=0.9s | BaseRaw=508.6 | CurrentRaw=502.8 | Change=5.8 => Floor
info,,,,,,,,,,,,Time=1.0s | BaseRaw=508.6 | CurrentRaw=502.4 | Change=6.2 => Floor
info,,,,,,,,,,,,Time=1.1s | BaseRaw=508.6 | CurrentRaw=502.4 | Change=6.2 => Floor
info,,,,,,,,,,,,Time=1.2s | BaseRaw=508.6 | CurrentRaw=503.0 | Change=5.6 => Floor
info,,,,,,,,,,,,Time=1.3s | BaseRaw=508.6 | CurrentRaw=504.0 | Change=4.6 => Floor
info,,,,,,,,,,,,Time=1.4s | BaseRaw=508.6 | CurrentRaw=504.2 | Change=4.4 => Floor
info,,,,,,,,,,,,Time=1.5s | BaseRaw=508.6 | CurrentRaw=504.8 | Change=3.8 => Floor
info,,,,,,,,,,,,Time=1.6s | BaseRaw=508.6 | CurrentRaw=505.0 | Change=3.6 => Floor
info,,,,,,,,,,,,Time=1.7s | BaseRaw=508.6 | CurrentRaw=504.8 | Change=3.8 => Floor
info,,,,,,,,,,,,Time=1.8s | BaseRaw=508.6 | CurrentRaw=504.4 | Change=4.2 => Floor
info,,,,,,,,,,,,Time=1.9s | BaseRaw=508.6 | CurrentRaw=503.6 | Change=5.0 => Floor
info,,,,,,,,,,,,Time=2.0s | BaseRaw=508.6 | CurrentRaw=504.0 | Change=4.6 => Floor
info,,,,,,,,,,,,Time=2.1s | BaseRaw=508.6 | CurrentRaw=504.8 | Change=3.8 => Floor
info,,,,,,,,,,,,Time=2.2s | BaseRaw=508.6 | CurrentRaw=503.8 | Change=4.8 => Floor
info,,,,,,,,,,,,Time=2.3s | BaseRaw=508.6 | CurrentRaw=501.4 | Change=7.2 => Floor
info,,,,,,,,,,,,Time=2.4s | BaseRaw=508.6 | CurrentRaw=503.2 | Change=5.4 => Floor
info,,,,,,,,,,,,Time=2.5s | BaseRaw=508.6 | CurrentRaw=502.2 | Change=6.4 => Floor
info,,,,,,,,,,,,Time=2.6s | BaseRaw=508.6 | CurrentRaw=501.6 | Change=7.0 => Floor
info,,,,,,,,,,,,Time=2.7s | BaseRaw=508.6 | CurrentRaw=502.8 | Change=5.8 => Floor
info,,,,,,,,,,,,Time=2.8s | BaseRaw=508.6 | CurrentRaw=503.2 | Change=5.4 => Floor
info,,,,,,,,,,,,Time=2.9s | BaseRaw=508.6 | CurrentRaw=500.8 | Change=7.8 => Floor
info,,,,,,,,,,,,Time=3.0s | BaseRaw=508.6 | CurrentRaw=501.0 | Change=7.6 => Floor
info,,,,,,,,,,,,Time=3.1s | BaseRaw=508.6 | CurrentRaw=502.4 | Change=6.2 => Floor
info,,,,,,,,,,,,Time=3.2s | BaseRaw=508.6 | CurrentRaw=502.4 | Change=6.2 => Floor
info,,,,,,,,,,,,Time=3.3s | BaseRaw=508.6 | CurrentRaw=503.0 | Change=5.6 => Floor
info,,,,,,,,,,,,Time=3.4s | BaseRaw=508.6 | CurrentRaw=503.4 | Change=5.2 => Floor
info,,,,,,,,,,,,Time=3.5s | BaseRaw=508.6 | CurrentRaw=503.0 | Change=5.6 => Floor
info,,,,,,,,,,,,Time=3.6s | BaseRaw=508.6 | CurrentRaw=502.6 | Change=6.0 => Floor
info,,,,,,,,,,,,Time=3.7s | BaseRaw=508.6 | CurrentRaw=501.8 | Change=6.8 => Floor
info,,,,,,,,,,,,Time=3.8s | BaseRaw=508.6 | CurrentRaw=501.4 | Change=7.2 => Floor
info,,,,,,,,,,,,Time=3.9s | BaseRaw=508.6 | CurrentRaw=500.4 | Change=8.2 => Floor
info,,,,,,,,,,,,Time=4.0s | BaseRaw=508.6 | CurrentRaw=501.0 | Change=7.6 => Floor
info,,,,,,,,,,,,Time=4.1s | BaseRaw=508.6 | CurrentRaw=500.2 | Change=8.4 => Floor
info,,,,,,,,,,,,Time=4.2s | BaseRaw=508.6 | CurrentRaw=500.0 | Change=8.6 => Floor
info,,,,,,,,,,,,Time=4.3s | BaseRaw=508.6 | CurrentRaw=501.8 | Change=6.8 => Floor
info,,,,,,,,,,,,Time=4.4s | BaseRaw=508.6 | CurrentRaw=504.8 | Change=3.8 => Floor
info,,,,,,,,,,,,Time=4.5s | BaseRaw=508.6 | CurrentRaw=504.8 | Change=3.8 => Floor
info,,,,,,,,,,,,Time=4.6s | BaseRaw=508.6 | CurrentRaw=503.2 | Change=5.4 => Floor
info,,,,,,,,,,,,Time=4.7s | BaseRaw=508.6 | CurrentRaw=503.0 | Change=5.6 => Floor
info,,,,,,,,,,,,Time=4.8s | BaseRaw=508.6 | CurrentRaw=502.4 | Change=6.2 => Floor
info,,,,,,,,,,,,Time=4.9s | BaseRaw=508.6 | CurrentRaw=500.6 | Change=8.0 => Floor
info,,,,,,,,,,,,Time=5.0s | BaseRaw=508.6 | CurrentRaw=500.0 | Change=8.6 => Floor
info,,,,,,,,,,,,Time=5.1s | BaseRaw=508.6 | CurrentRaw=501.8 | Change=6.8 => Floor
info,,,,,,,,,,,,Time=5.2s | BaseRaw=508.6 | CurrentRaw=503.0 | Change=5.6 => Floor
info,,,,,,,,,,,,Time=5.3s | BaseRaw=508.6 | CurrentRaw=502.6 | Change=6.0 => Floor
info,,,,,,,,,,,,Time=5.4s | BaseRaw=508.6 | CurrentRaw=503.0 | Change=5.6 => Floor
info,,,,,,,,,,,,Time=5.5s | BaseRaw=508.6 | CurrentRaw=503.4 | Change=5.2 => Floor
info,,,,,,,,,,,,Time=5.6s | BaseRaw=508.6 | CurrentRaw=504.4 | Change=4.2 => Floor
info,,,,,,,,,,,,Time=5.7s | BaseRaw=508.6 | CurrentRaw=503.6 | Change=5.0 => Floor
info,,,,,,,,,,,,Time=5.8s | BaseRaw=508.6 | CurrentRaw=499.2 | Change=9.4 => Floor
info,,,,,,,,,,,,Time=5.9s | BaseRaw=508.6 | CurrentRaw=488.0 | Change=20.6 => Liquid
info,,,,,,,,,,,,Time=6.0s | BaseRaw=508.6 | CurrentRaw=480.0 | Change=28.6 => Liquid
info,,,,,,,,,,,,Time=6.1s | BaseRaw=508.6 | CurrentRaw=469.0 | Change=39.6 => Liquid
info,,,,,,,,,,,,Time=6.2s | BaseRaw=508.6 | CurrentRaw=462.2 | Change=46.4 => Liquid
info,,,,,,,,,,,,Time=6.3s | BaseRaw=508.6 | CurrentRaw=460.2 | Change=48.4 => Liquid
info,,,,,,,,,,,,Time=6.4s | BaseRaw=508.6 | CurrentRaw=466.6 | Change=42.0 => Liquid
info,,,,,,,,,,,,Time=6.5s | BaseRaw=508.6 | CurrentRaw=470.2 | Change=38.4 => Liquid
info,,,,,,,,,,,,Time=6.6s | BaseRaw=508.6 | CurrentRaw=476.0 | Change=32.6 => Liquid
info,,,,,,,,,,,,Time=6.7s | BaseRaw=508.6 | CurrentRaw=476.8 | Change=31.8 => Liquid
info,,,,,,,,,,,,Time=6.8s | BaseRaw=508.6 | CurrentRaw=478.2 | Change=30.4 => Liquid
info,,,,,,,,,,,,Time=6.9s | BaseRaw=508.6 | CurrentRaw=478.0 | Change=30.6 => Liquid
info,,,,,,,,,,,,Time=7.0s | BaseRaw=508.6 | CurrentRaw=478.2 | Change=30.4 => Liquid
info,,,,,,,,,,,,Time=7.1s | BaseRaw=508.6 | CurrentRaw=477.6 | Change=31.0 => Liquid
info,,,,,,,,,,,,Time=7.2s | BaseRaw=508.6 | CurrentRaw=478.4 | Change=30.2 => Liquid
info,,,,,,,,,,,,Time=7.3s | BaseRaw=508.6 | CurrentRaw=477.2 | Change=31.4 => Liquid
