record_type,time_s,raw_on,raw_off,net_raw,avg_on,avg_off,net_avg,baseline,change,label,raw_line
info,,,,,,,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,,,,,,,START received
info,,,,,,,,,,,,Collecting baseline... RawAvg=560.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=561.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=562.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=563.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=563.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=563.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=562.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=561.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=560.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=560.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=560.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=561.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=563.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=563.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=563.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=564.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=564.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=564.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=564.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=564.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=563.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=562.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=561.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=559.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=559.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=559.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=559.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=560.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=560.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=561.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=561.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=560.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=559.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=559.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=559.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=559.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=559.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=560.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=560.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=561.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=561.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=560.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=560.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=560.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=559.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=558.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=559.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=560.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=560.40
info,,,,,,,,,,,,Baseline collection complete! Starting detection.
info,,,,,,,,,,,,Final Base Raw Average = 561.30
info,,,,,,,,,,,,--------------------------------------------------------------------------
info,,,,,,,,,,,,Time=0.1s | BaseRaw=561.3 | CurrentRaw=561.4 | Change=0.1 => Floor
info,,,,,,,,,,,,Time=0.2s | BaseRaw=561.3 | CurrentRaw=562.2 | Change=0.9 => Floor
info,,,,,,,,,,,,Time=0.3s | BaseRaw=561.3 | CurrentRaw=561.8 | Change=0.5 => Floor
info,,,,,,,,,,,,Time=0.4s | BaseRaw=561.3 | CurrentRaw=562.4 | Change=1.1 => Floor
info,,,,,,,,,,,,Time=0.5s | BaseRaw=561.3 | CurrentRaw=563.6 | Change=2.3 => Floor
info,,,,,,,,,,,,Time=0.6s | BaseRaw=561.3 | CurrentRaw=562.8 | Change=1.5 => Floor
info,,,,,,,,,,,,Time=0.7s | BaseRaw=561.3 | CurrentRaw=560.8 | Change=0.5 => Floor
info,,,,,,,,,,,,Time=0.8s | BaseRaw=561.3 | CurrentRaw=560.6 | Change=0.7 => Floor
info,,,,,,,,,,,,Time=0.9s | BaseRaw=561.3 | CurrentRaw=561.4 | Change=0.1 => Floor
info,,,,,,,,,,,,Time=1.0s | BaseRaw=561.3 | CurrentRaw=562.2 | Change=0.9 => Floor
info,,,,,,,,,,,,Time=1.1s | BaseRaw=561.3 | CurrentRaw=562.4 | Change=1.1 => Floor
info,,,,,,,,,,,,Time=1.2s | BaseRaw=561.3 | CurrentRaw=563.4 | Change=2.1 => Floor
info,,,,,,,,,,,,Time=1.3s | BaseRaw=561.3 | CurrentRaw=564.2 | Change=2.9 => Floor
info,,,,,,,,,,,,Time=1.4s | BaseRaw=561.3 | CurrentRaw=563.4 | Change=2.1 => Floor
info,,,,,,,,,,,,Time=1.5s | BaseRaw=561.3 | CurrentRaw=561.8 | Change=0.5 => Floor
info,,,,,,,,,,,,Time=1.6s | BaseRaw=561.3 | CurrentRaw=561.4 | Change=0.1 => Floor
info,,,,,,,,,,,,Time=1.7s | BaseRaw=561.3 | CurrentRaw=561.4 | Change=0.1 => Floor
info,,,,,,,,,,,,Time=1.8s | BaseRaw=561.3 | CurrentRaw=560.2 | Change=1.1 => Floor
info,,,,,,,,,,,,Time=1.9s | BaseRaw=561.3 | CurrentRaw=560.6 | Change=0.7 => Floor
info,,,,,,,,,,,,Time=2.0s | BaseRaw=561.3 | CurrentRaw=561.4 | Change=0.1 => Floor
info,,,,,,,,,,,,Time=2.1s | BaseRaw=561.3 | CurrentRaw=561.0 | Change=0.3 => Floor
info,,,,,,,,,,,,Time=2.2s | BaseRaw=561.3 | CurrentRaw=561.6 | Change=0.3 => Floor
info,,,,,,,,,,,,Time=2.3s | BaseRaw=561.3 | CurrentRaw=562.4 | Change=1.1 => Floor
info,,,,,,,,,,,,Time=2.4s | BaseRaw=561.3 | CurrentRaw=562.0 | Change=0.7 => Floor
info,,,,,,,,,,,,Time=2.5s | BaseRaw=561.3 | CurrentRaw=562.2 | Change=0.9 => Floor
info,,,,,,,,,,,,Time=2.6s | BaseRaw=561.3 | CurrentRaw=564.0 | Change=2.7 => Floor
info,,,,,,,,,,,,Time=2.7s | BaseRaw=561.3 | CurrentRaw=563.4 | Change=2.1 => Floor
info,,,,,,,,,,,,Time=2.8s | BaseRaw=561.3 | CurrentRaw=563.0 | Change=1.7 => Floor
info,,,,,,,,,,,,Time=2.9s | BaseRaw=561.3 | CurrentRaw=562.6 | Change=1.3 => Floor
info,,,,,,,,,,,,Time=3.0s | BaseRaw=561.3 | CurrentRaw=562.2 | Change=0.9 => Floor
info,,,,,,,,,,,,Time=3.1s | BaseRaw=561.3 | CurrentRaw=561.4 | Change=0.1 => Floor
info,,,,,,,,,,,,Time=3.2s | BaseRaw=561.3 | CurrentRaw=561.4 | Change=0.1 => Floor
info,,,,,,,,,,,,Time=3.3s | BaseRaw=561.3 | CurrentRaw=560.8 | Change=0.5 => Floor
info,,,,,,,,,,,,Time=3.4s | BaseRaw=561.3 | CurrentRaw=561.4 | Change=0.1 => Floor
info,,,,,,,,,,,,Time=3.5s | BaseRaw=561.3 | CurrentRaw=561.2 | Change=0.1 => Floor
info,,,,,,,,,,,,Time=3.6s | BaseRaw=561.3 | CurrentRaw=560.4 | Change=0.9 => Floor
info,,,,,,,,,,,,Time=3.7s | BaseRaw=561.3 | CurrentRaw=560.4 | Change=0.9 => Floor
info,,,,,,,,,,,,Time=3.8s | BaseRaw=561.3 | CurrentRaw=561.8 | Change=0.5 => Floor
info,,,,,,,,,,,,Time=3.9s | BaseRaw=561.3 | CurrentRaw=562.6 | Change=1.3 => Floor
info,,,,,,,,,,,,Time=4.0s | BaseRaw=561.3 | CurrentRaw=562.8 | Change=1.5 => Floor
info,,,,,,,,,,,,Time=4.1s | BaseRaw=561.3 | CurrentRaw=561.8 | Change=0.5 => Floor
info,,,,,,,,,,,,Time=4.2s | BaseRaw=561.3 | CurrentRaw=561.8 | Change=0.5 => Floor
info,,,,,,,,,,,,Time=4.3s | BaseRaw=561.3 | CurrentRaw=561.6 | Change=0.3 => Floor
info,,,,,,,,,,,,Time=4.4s | BaseRaw=561.3 | CurrentRaw=560.8 | Change=0.5 => Floor
info,,,,,,,,,,,,Time=4.5s | BaseRaw=561.3 | CurrentRaw=559.6 | Change=1.7 => Floor
info,,,,,,,,,,,,Time=4.6s | BaseRaw=561.3 | CurrentRaw=561.2 | Change=0.1 => Floor
info,,,,,,,,,,,,Time=4.7s | BaseRaw=561.3 | CurrentRaw=561.8 | Change=0.5 => Floor
info,,,,,,,,,,,,Time=4.8s | BaseRaw=561.3 | CurrentRaw=560.4 | Change=0.9 => Floor
info,,,,,,,,,,,,Time=4.9s | BaseRaw=561.3 | CurrentRaw=560.0 | Change=1.3 => Floor
info,,,,,,,,,,,,Time=5.0s | BaseRaw=561.3 | CurrentRaw=561.4 | Change=0.1 => Floor
info,,,,,,,,,,,,Time=5.1s | BaseRaw=561.3 | CurrentRaw=560.4 | Change=0.9 => Floor
info,,,,,,,,,,,,Time=5.2s | BaseRaw=561.3 | CurrentRaw=561.0 | Change=0.3 => Floor
info,,,,,,,,,,,,Time=5.3s | BaseRaw=561.3 | CurrentRaw=562.4 | Change=1.1 => Floor
info,,,,,,,,,,,,Time=5.4s | BaseRaw=561.3 | CurrentRaw=562.0 | Change=0.7 => Floor
info,,,,,,,,,,,,Time=5.5s | BaseRaw=561.3 | CurrentRaw=560.8 | Change=0.5 => Floor
info,,,,,,,,,,,,Time=5.6s | BaseRaw=561.3 | CurrentRaw=561.4 | Change=0.1 => Floor
info,,,,,,,,,,,,Time=5.7s | BaseRaw=561.3 | CurrentRaw=561.0 | Change=0.3 => Floor
info,,,,,,,,,,,,Time=5.8s | BaseRaw=561.3 | CurrentRaw=559.8 | Change=1.5 => Floor
info,,,,,,,,,,,,Time=5.9s | BaseRaw=561.3 | CurrentRaw=559.8 | Change=1.5 => Floor
info,,,,,,,,,,,,Time=6.0s | BaseRaw=561.3 | CurrentRaw=561.2 | Change=0.1 => Floor
info,,,,,,,,,,,,Time=6.1s | BaseRaw=561.3 | CurrentRaw=561.6 | Change=0.3 => Floor
info,,,,,,,,,,,,Time=6.2s | BaseRaw=561.3 | CurrentRaw=556.4 | Change=4.9 => Floor
info,,,,,,,,,,,,Time=6.3s | BaseRaw=561.3 | CurrentRaw=551.0 | Change=10.3 => Liquid
info,,,,,,,,,,,,Time=6.4s | BaseRaw=561.3 | CurrentRaw=545.6 | Change=15.7 => Liquid
info,,,,,,,,,,,,Time=6.5s | BaseRaw=561.3 | CurrentRaw=540.2 | Change=21.1 => Liquid
info,,,,,,,,,,,,Time=6.6s | BaseRaw=561.3 | CurrentRaw=535.8 | Change=25.5 => Liquid
info,,,,,,,,,,,,Time=6.7s | BaseRaw=561.3 | CurrentRaw=535.8 | Change=25.5 => Liquid
info,,,,,,,,,,,,Time=6.8s | BaseRaw=561.3 | CurrentRaw=537.4 | Change=23.9 => Liquid
info,,,,,,,,,,,,Time=6.9s | BaseRaw=561.3 | CurrentRaw=539.0 | Change=22.3 => Liquid
info,,,,,,,,,,,,Time=7.0s | BaseRaw=561.3 | CurrentRaw=538.2 | Change=23.1 => Liquid
info,,,,,,,,,,,,Time=7.1s | BaseRaw=561.3 | CurrentRaw=538.0 | Change=23.3 => Liquid
info,,,,,,,,,,,,Time=7.2s | BaseRaw=561.3 | CurrentRaw=538.8 | Change=22.5 => Liquid
info,,,,,,,,,,,,Time=7.3s | BaseRaw=561.3 | CurrentRaw=538.0 | Change=23.3 => Liquid
