record_type,time_s,raw_on,raw_off,net_raw,avg_on,avg_off,net_avg,baseline,change,label,raw_line
info,,,,,,,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,,,,,,,START received
info,,,,,,,,,,,,Collecting baseline... RawAvg=482.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=483.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=483.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=484.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=485.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=485.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=486.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=487.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=487.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=488.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=488.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=488.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=487.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=487.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=486.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=486.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=486.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=486.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=488.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=488.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=488.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=489.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=487.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=486.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=485.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=485.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=485.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=487.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=488.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=489.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=489.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=489.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=488.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=487.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=488.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=487.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=487.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=486.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=486.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=485.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=484.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=483.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=483.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=482.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=483.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=484.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=485.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=484.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=485.20
info,,,,,,,,,,,,Baseline collection complete! Starting detection.
info,,,,,,,,,,,,Final Base Raw Average = 486.41
info,,,,,,,,,,,,--------------------------------------------------------------------------
info,,,,,,,,,,,,Time=0.1s | BaseRaw=486.4 | CurrentRaw=484.4 | Change=2.0 => Floor
info,,,,,,,,,,,,Time=0.2s | BaseRaw=486.4 | CurrentRaw=485.0 | Change=1.4 => Floor
info,,,,,,,,,,,,Time=0.3s | BaseRaw=486.4 | CurrentRaw=486.0 | Change=0.4 => Floor
info,,,,,,,,,,,,Time=0.4s | BaseRaw=486.4 | CurrentRaw=486.0 | Change=0.4 => Floor
info,,,,,,,,,,,,Time=0.5s | BaseRaw=486.4 | CurrentRaw=486.2 | Change=0.2 => Floor
info,,,,,,,,,,,,Time=0.6s | BaseRaw=486.4 | CurrentRaw=486.6 | Change=0.2 => Floor
info,,,,,,,,,,,,Time=0.7s | BaseRaw=486.4 | CurrentRaw=486.8 | Change=0.4 => Floor
info,,,,,,,,,,,,Time=0.8s | BaseRaw=486.4 | CurrentRaw=487.0 | Change=0.6 => Floor
info,,,,,,,,,,,,Time=0.9s | BaseRaw=486.4 | CurrentRaw=486.8 | Change=0.4 => Floor
info,,,,,,,,,,,,Time=1.0s | BaseRaw=486.4 | CurrentRaw=487.0 | Change=0.6 => Floor
info,,,,,,,,,,,,Time=1.1s | BaseRaw=486.4 | CurrentRaw=486.6 | Change=0.2 => Floor
info,,,,,,,,,,,,Time=1.2s | BaseRaw=486.4 | CurrentRaw=486.4 | Change=0.0 => Floor
info,,,,,,,,,,,,Time=1.3s | BaseRaw=486.4 | CurrentRaw=485.2 | Change=1.2 => Floor
info,,,,,,,,,,,,Time=1.4s | BaseRaw=486.4 | CurrentRaw=486.2 | Change=0.2 => Floor
info,,,,,,,,,,,,Time=1.5s | BaseRaw=486.4 | CurrentRaw=486.0 | Change=0.4 => Floor
info,,,,,,,,,,,,Time=1.6s | BaseRaw=486.4 | CurrentRaw=486.0 | Change=0.4 => Floor
info,,,,,,,,,,,,Time=1.7s | BaseRaw=486.4 | CurrentRaw=485.8 | Change=0.6 => Floor
info,,,,,,,,,,,,Time=1.8s | BaseRaw=486.4 | CurrentRaw=486.4 | Change=0.0 => Floor
info,,,,,,,,,,,,Time=1.9s | BaseRaw=486.4 | CurrentRaw=485.6 | Change=0.8 => Floor
info,,,,,,,,,,,,Time=2.0s | BaseRaw=486.4 | CurrentRaw=486.8 | Change=0.4 => Floor
info,,,,,,,,,,,,Time=2.1s | BaseRaw=486.4 | CurrentRaw=487.2 | Change=0.8 => Floor
info,,,,,,,,,,,,Time=2.2s | BaseRaw=486.4 | CurrentRaw=486.8 | Change=0.4 => Floor
info,,,,,,,,,,,,Time=2.3s | BaseRaw=486.4 | CurrentRaw=486.8 | Change=0.4 => Floor
info,,,,,,,,,,,,Time=2.4s | BaseRaw=486.4 | CurrentRaw=487.0 | Change=0.6 => Floor
info,,,,,,,,,,,,Time=2.5s | BaseRaw=486.4 | CurrentRaw=485.4 | Change=1.0 => Floor
info,,,,,,,,,,,,Time=2.6s | BaseRaw=486.4 | CurrentRaw=485.2 | Change=1.2 => Floor
info,,,,,,,,,,,,Time=2.7s | BaseRaw=486.4 | CurrentRaw=485.8 | Change=0.6 => Floor
info,,,,,,,,,,,,Time=2.8s | BaseRaw=486.4 | CurrentRaw=486.6 | Change=0.2 => Floor
info,,,,,,,,,,,,Time=2.9s | BaseRaw=486.4 | CurrentRaw=486.8 | Change=0.4 => Floor
info,,,,,,,,,,,,Time=3.0s | BaseRaw=486.4 | CurrentRaw=487.2 | Change=0.8 => Floor
info,,,,,,,,,,,,Time=3.1s | BaseRaw=486.4 | CurrentRaw=487.4 | Change=1.0 => Floor
info,,,,,,,,,,,,Time=3.2s | BaseRaw=486.4 | CurrentRaw=488.0 | Change=1.6 => Floor
info,,,,,,,,,,,,Time=3.3s | BaseRaw=486.4 | CurrentRaw=487.8 | Change=1.4 => Floor
info,,,,,,,,,,,,Time=3.4s | BaseRaw=486.4 | CurrentRaw=487.4 | Change=1.0 => Floor
info,,,,,,,,,,,,Time=3.5s | BaseRaw=486.4 | CurrentRaw=487.8 | Change=1.4 => Floor
info,,,,,,,,,,,,Time=3.6s | BaseRaw=486.4 | CurrentRaw=488.0 | Change=1.6 => Floor
info,,,,,,,,,,,,Time=3.7s | BaseRaw=486.4 | CurrentRaw=487.6 | Change=1.2 => Floor
info,,,,,,,,,,,,Time=3.8s | BaseRaw=486.4 | CurrentRaw=486.6 | Change=0.2 => Floor
info,,,,,,,,,,,,Time=3.9s | BaseRaw=486.4 | CurrentRaw=487.6 | Change=1.2 => Floor
info,,,,,,,,,,,,Time=4.0s | BaseRaw=486.4 | CurrentRaw=487.2 | Change=0.8 => Floor
info,,,,,,,,,,,,Time=4.1s | BaseRaw=486.4 | CurrentRaw=487.2 | Change=0.8 => Floor
info,,,,,,,,,,,,Time=4.2s | BaseRaw=486.4 | CurrentRaw=487.0 | Change=0.6 => Floor
info,,,,,,,,,,,,Time=4.3s | BaseRaw=486.4 | CurrentRaw=488.0 | Change=1.6 => Floor
info,,,,,,,,,,,,Time=4.4s | BaseRaw=486.4 | CurrentRaw=487.4 | Change=1.0 => Floor
info,,,,,,,,,,,,Time=4.5s | BaseRaw=486.4 | CurrentRaw=487.2 | Change=0.8 => Floor
info,,,,,,,,,,,,Time=4.6s | BaseRaw=486.4 | CurrentRaw=487.2 | Change=0.8 => Floor
info,,,,,,,,,,,,Time=4.7s | BaseRaw=486.4 | CurrentRaw=487.0 | Change=0.6 => Floor
info,,,,,,,,,,,,Time=4.8s | BaseRaw=486.4 | CurrentRaw=487.0 | Change=0.6 => Floor
info,,,,,,,,,,,,Time=4.9s | BaseRaw=486.4 | CurrentRaw=486.2 | Change=0.2 => Floor
info,,,,,,,,,,,,Time=5.0s | BaseRaw=486.4 | CurrentRaw=487.4 | Change=1.0 => Floor
info,,,,,,,,,,,,Time=5.1s | BaseRaw=486.4 | CurrentRaw=488.0 | Change=1.6 => Floor
info,,,,,,,,,,,,Time=5.2s | BaseRaw=486.4 | CurrentRaw=487.0 | Change=0.6 => Floor
info,,,,,,,,,,,,Time=5.3s | BaseRaw=486.4 | CurrentRaw=486.8 | Change=0.4 => Floor
info,,,,,,,,,,,,Time=5.4s | BaseRaw=486.4 | CurrentRaw=488.4 | Change=2.0 => Floor
info,,,,,,,,,,,,Time=5.5s | BaseRaw=486.4 | CurrentRaw=487.4 | Change=1.0 => Floor
info,,,,,,,,,,,,Time=5.6s | BaseRaw=486.4 | CurrentRaw=485.2 | Change=1.2 => Floor
info,,,,,,,,,,,,Time=5.7s | BaseRaw=486.4 | CurrentRaw=487.0 | Change=0.6 => Floor
info,,,,,,,,,,,,Time=5.8s | BaseRaw=486.4 | CurrentRaw=486.0 | Change=0.4 => Floor
info,,,,,,,,,,,,Time=5.9s | BaseRaw=486.4 | CurrentRaw=483.6 | Change=2.8 => Floor
info,,,,,,,,,,,,Time=6.0s | BaseRaw=486.4 | CurrentRaw=485.6 | Change=0.8 => Floor
info,,,,,,,,,,,,Time=6.1s | BaseRaw=486.4 | CurrentRaw=489.8 | Change=3.4 => Floor
info,,,,,,,,,,,,Time=6.2s | BaseRaw=486.4 | CurrentRaw=495.4 | Change=9.0 => Floor
info,,,,,,,,,,,,Time=6.3s | BaseRaw=486.4 | CurrentRaw=501.8 | Change=15.4 => Liquid
info,,,,,,,,,,,,Time=6.4s | BaseRaw=486.4 | CurrentRaw=509.6 | Change=23.2 => Liquid
info,,,,,,,,,,,,Time=6.5s | BaseRaw=486.4 | CurrentRaw=513.4 | Change=27.0 => Liquid
info,,,,,,,,,,,,Time=6.6s | BaseRaw=486.4 | CurrentRaw=517.0 | Change=30.6 => Liquid
info,,,,,,,,,,,,Time=6.7s | BaseRaw=486.4 | CurrentRaw=515.2 | Change=28.8 => Liquid
info,,,,,,,,,,,,Time=6.8s | BaseRaw=486.4 | CurrentRaw=516.0 | Change=29.6 => Liquid
info,,,,,,,,,,,,Time=6.9s | BaseRaw=486.4 | CurrentRaw=513.6 | Change=27.2 => Liquid
info,,,,,,,,,,,,Time=7.0s | BaseRaw=486.4 | CurrentRaw=513.6 | Change=27.2 => Liquid
info,,,,,,,,,,,,Time=7.1s | BaseRaw=486.4 | CurrentRaw=512.0 | Change=25.6 => Liquid
info,,,,,,,,,,,,Time=7.2s | BaseRaw=486.4 | CurrentRaw=513.0 | Change=26.6 => Liquid
info,,,,,,,,,,,,Time=7.3s | BaseRaw=486.4 | CurrentRaw=511.2 | Change=24.8 => Liquid
