record_type,time_s,raw_on,raw_off,net_raw,avg_on,avg_off,net_avg,baseline,change,label,raw_line
info,,,,,,,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,,,,,,,START received
info,,,,,,,,,,,,Collecting baseline... RawAvg=518.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=518.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=518.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=517.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=516.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=516.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=515.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=515.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=515.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=517.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=517.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=517.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=519.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=520.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=521.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=521.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=523.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=521.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=520.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=520.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=518.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=517.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=518.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=518.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=518.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=519.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=519.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=519.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=518.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=518.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=518.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=520.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=520.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=520.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=519.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=518.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=518.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=518.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=519.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=519.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=520.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=521.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=520.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=520.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=521.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=521.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=521.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=522.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=522.60
info,,,,,,,,,,,,Baseline collection complete! Starting detection.
info,,,,,,,,,,,,Final Base Raw Average = 519.33
info,,,,,,,,,,,,--------------------------------------------------------------------------
info,,,,,,,,,,,,Time=0.1s | BaseRaw=519.3 | CurrentRaw=522.0 | Change=2.7 => Floor
info,,,,,,,,,,,,Time=0.2s | BaseRaw=519.3 | CurrentRaw=520.8 | Change=1.5 => Floor
info,,,,,,,,,,,,Time=0.3s | BaseRaw=519.3 | CurrentRaw=520.6 | Change=1.3 => Floor
info,,,,,,,,,,,,Time=0.4s | BaseRaw=519.3 | CurrentRaw=519.8 | Change=0.5 => Floor
info,,,,,,,,,,,,Time=0.5s | BaseRaw=519.3 | CurrentRaw=518.8 | Change=0.5 => Floor
info,,,,,,,,,,,,Time=0.6s | BaseRaw=519.3 | CurrentRaw=518.0 | Change=1.3 => Floor
info,,,,,,,,,,,,Time=0.7s | BaseRaw=519.3 | CurrentRaw=519.2 | Change=0.1 => Floor
info,,,,,,,,,,,,Time=0.8s | BaseRaw=519.3 | CurrentRaw=519.2 | Change=0.1 => Floor
info,,,,,,,,,,,,Time=0.9s | BaseRaw=519.3 | CurrentRaw=519.2 | Change=0.1 => Floor
info,,,,,,,,,,,,Time=1.0s | BaseRaw=519.3 | CurrentRaw=519.2 | Change=0.1 => Floor
info,,,,,,,,,,,,Time=1.1s | BaseRaw=519.3 | CurrentRaw=519.4 | Change=0.1 => Floor
info,,,,,,,,,,,,Time=1.2s | BaseRaw=519.3 | CurrentRaw=519.4 | Change=0.1 => Floor
info,,,,,,,,,,,,Time=1.3s | BaseRaw=519.3 | CurrentRaw=519.6 | Change=0.3 => Floor
info,,,,,,,,,,,,Time=1.4s | BaseRaw=519.3 | CurrentRaw=520.2 | Change=0.9 => Floor
info,,,,,,,,,,,,Time=1.5s | BaseRaw=519.3 | CurrentRaw=519.6 | Change=0.3 => Floor
info,,,,,,,,,,,,Time=1.6s | BaseRaw=519.3 | CurrentRaw=519.4 | Change=0.1 => Floor
info,,,,,,,,,,,,Time=1.7s | BaseRaw=519.3 | CurrentRaw=519.4 | Change=0.1 => Floor
info,,,,,,,,,,,,Time=1.8s | BaseRaw=519.3 | CurrentRaw=520.0 | Change=0.7 => Floor
info,,,,,,,,,,,,Time=1.9s | BaseRaw=519.3 | CurrentRaw=520.0 | Change=0.7 => Floor
info,,,,,,,,,,,,Time=2.0s | BaseRaw=519.3 | CurrentRaw=520.0 | Change=0.7 => Floor
info,,,,,,,,,,,,Time=2.1s | BaseRaw=519.3 | CurrentRaw=521.0 | Change=1.7 => Floor
info,,,,,,,,,,,,Time=2.2s | BaseRaw=519.3 | CurrentRaw=520.2 | Change=0.9 => Floor
info,,,,,,,,,,,,Time=2.3s | BaseRaw=519.3 | CurrentRaw=519.8 | Change=0.5 => Floor
info,,,,,,,,,,,,Time=2.4s | BaseRaw=519.3 | CurrentRaw=519.6 | Change=0.3 => Floor
info,,,,,,,,,,,,Time=2.5s | BaseRaw=519.3 | CurrentRaw=520.0 | Change=0.7 => Floor
info,,,,,,,,,,,,Time=2.6s | BaseRaw=519.3 | CurrentRaw=519.6 | Change=0.3 => Floor
info,,,,,,,,,,,,Time=2.7s | BaseRaw=519.3 | CurrentRaw=519.6 | Change=0.3 => Floor
info,,,,,,,,,,,,Time=2.8s | BaseRaw=519.3 | CurrentRaw=518.2 | Change=1.1 => Floor
info,,,,,,,,,,,,Time=2.9s | BaseRaw=519.3 | CurrentRaw=517.4 | Change=1.9 => Floor
info,,,,,,,,,,,,Time=3.0s | BaseRaw=519.3 | CurrentRaw=517.8 | Change=1.5 => Floor
info,,,,,,,,,,,,Time=3.1s | BaseRaw=519.3 | CurrentRaw=518.2 | Change=1.1 => Floor
info,,,,,,,,,,,,Time=3.2s | BaseRaw=519.3 | CurrentRaw=518.0 | Change=1.3 => Floor
info,,,,,,,,,,,,Time=3.3s | BaseRaw=519.3 | CurrentRaw=517.8 | Change=1.5 => Floor
info,,,,,,,,,,,,Time=3.4s | BaseRaw=519.3 | CurrentRaw=517.8 | Change=1.5 => Floor
info,,,,,,,,,,,,Time=3.5s | BaseRaw=519.3 | CurrentRaw=517.8 | Change=1.5 => Floor
info,,,,,,,,,,,,Time=3.6s | BaseRaw=519.3 | CurrentRaw=518.2 | Change=1.1 => Floor
info,,,,,,,,,,,,Time=3.7s | BaseRaw=519.3 | CurrentRaw=519.0 | Change=0.3 => Floor
info,,,,,,,,,,,,Time=3.8s | BaseRaw=519.3 | CurrentRaw=518.6 | Change=0.7 => Floor
info,,,,,,,,,,,,Time=3.9s | BaseRaw=519.3 | CurrentRaw=518.2 | Change=1.1 => Floor
info,,,,,,,,,,,,Time=4.0s | BaseRaw=519.3 | CurrentRaw=519.2 | Change=0.1 => Floor
info,,,,,,,,,,,,Time=4.1s | BaseRaw=519.3 | CurrentRaw=517.8 | Change=1.5 => Floor
info,,,,,,,,,,,,Time=4.2s | BaseRaw=519.3 | CurrentRaw=517.0 | Change=2.3 => Floor
info,,,,,,,,,,,,Time=4.3s | BaseRaw=519.3 | CurrentRaw=519.2 | Change=0.1 => Floor
info,,,,,,,,,,,,Time=4.4s | BaseRaw=519.3 | CurrentRaw=519.6 | Change=0.3 => Floor
info,,,,,,,,,,,,Time=4.5s | BaseRaw=519.3 | CurrentRaw=519.4 | Change=0.1 => Floor
info,,,,,,,,,,,,Time=4.6s | BaseRaw=519.3 | CurrentRaw=519.4 | Change=0.1 => Floor
info,,,,,,,,,,,,Time=4.7s | BaseRaw=519.3 | CurrentRaw=520.0 | Change=0.7 => Floor
info,,,,,,,,,,,,Time=4.8s | BaseRaw=519.3 | CurrentRaw=519.2 | Change=0.1 => Floor
info,,,,,,,,,,,,Time=4.9s | BaseRaw=519.3 | CurrentRaw=519.6 | Change=0.3 => Floor
info,,,,,,,,,,,,Time=5.0s | BaseRaw=519.3 | CurrentRaw=519.2 | Change=0.1 => Floor
info,,,,,,,,,,,,Time=5.1s | BaseRaw=519.3 | CurrentRaw=520.0 | Change=0.7 => Floor
info,,,,,,,,,,,,Time=5.2s | BaseRaw=519.3 | CurrentRaw=519.4 | Change=0.1 => Floor
info,,,,,,,,,,,,Time=5.3s | BaseRaw=519.3 | CurrentRaw=518.2 | Change=1.1 => Floor
info,,,,,,,,,,,,Time=5.4s | BaseRaw=519.3 | CurrentRaw=518.2 | Change=1.1 => Floor
info,,,,,,,,,,,,Time=5.5s | BaseRaw=519.3 | CurrentRaw=517.8 | Change=1.5 => Floor
info,,,,,,,,,,,,Time=5.6s | BaseRaw=519.3 | CurrentRaw=518.2 | Change=1.1 => Floor
info,,,,,,,,,,,,Time=5.7s | BaseRaw=519.3 | CurrentRaw=515.6 | Change=3.7 => Floor
info,,,,,,,,,,,,Time=5.8s | BaseRaw=519.3 | CurrentRaw=514.0 | Change=5.3 => Floor
info,,,,,,,,,,,,Time=5.9s | BaseRaw=519.3 | CurrentRaw=512.2 | Change=7.1 => Floor
info,,,,,,,,,,,,Time=6.0s | BaseRaw=519.3 | CurrentRaw=510.4 | Change=8.9 => Floor
info,,,,,,,,,,,,Time=6.1s | BaseRaw=519.3 | CurrentRaw=508.4 | Change=10.9 => Liquid
info,,,,,,,,,,,,Time=6.2s | BaseRaw=519.3 | CurrentRaw=507.4 | Change=11.9 => Liquid
info,,,,,,,,,,,,Time=6.3s | BaseRaw=519.3 | CurrentRaw=508.0 | Change=11.3 => Liquid
info,,,,,,,,,,,,Time=6.4s | BaseRaw=519.3 | CurrentRaw=507.0 | Change=12.3 => Liquid
info,,,,,,,,,,,,Time=6.5s | BaseRaw=519.3 | CurrentRaw=507.2 | Change=12.1 => Liquid
info,,,,,,,,,,,,Time=6.6s | BaseRaw=519.3 | CurrentRaw=505.6 | Change=13.7 => Liquid
info,,,,,,,,,,,,Time=6.7s | BaseRaw=519.3 | CurrentRaw=508.0 | Change=11.3 => Liquid
info,,,,,,,,,,,,Time=6.8s | BaseRaw=519.3 | CurrentRaw=507.4 | Change=11.9 => Liquid
info,,,,,,,,,,,,Time=6.9s | BaseRaw=519.3 | CurrentRaw=508.2 | Change=11.1 => Liquid
info,,,,,,,,,,,,Time=7.0s | BaseRaw=519.3 | CurrentRaw=508.6 | Change=10.7 => Liquid
info,,,,,,,,,,,,Time=7.1s | BaseRaw=519.3 | CurrentRaw=510.4 | Change=8.9 => Floor
info,,,,,,,,,,,,Time=7.2s | BaseRaw=519.3 | CurrentRaw=510.2 | Change=9.1 => Floor
info,,,,,,,,,,,,Time=7.3s | BaseRaw=519.3 | CurrentRaw=510.8 | Change=8.5 => Floor
