record_type,time_s,raw_on,raw_off,net_raw,avg_on,avg_off,net_avg,baseline,change,label,raw_line
info,,,,,,,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,,,,,,,START received
info,,,,,,,,,,,,Collecting baseline... RawAvg=584.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=585.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=586.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=585.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=586.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=585.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=585.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=584.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=585.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=584.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=584.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=584.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=584.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=584.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=584.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=584.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=584.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=584.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=584.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=584.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=584.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=583.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=583.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=585.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=586.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=585.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=586.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=586.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=585.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=584.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=584.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=584.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=583.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=583.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=583.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=583.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=581.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=581.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=581.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=581.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=581.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=583.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=584.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=584.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=585.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=586.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=586.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=587.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=587.20
info,,,,,,,,,,,,Baseline collection complete! Starting detection.
info,,,,,,,,,,,,Final Base Raw Average = 584.51
info,,,,,,,,,,,,--------------------------------------------------------------------------
info,,,,,,,,,,,,Time=0.1s | BaseRaw=584.5 | CurrentRaw=586.8 | Change=2.3 => Floor
info,,,,,,,,,,,,Time=0.2s | BaseRaw=584.5 | CurrentRaw=586.2 | Change=1.7 => Floor
info,,,,,,,,,,,,Time=0.3s | BaseRaw=584.5 | CurrentRaw=585.6 | Change=1.1 => Floor
info,,,,,,,,,,,,Time=0.4s | BaseRaw=584.5 | CurrentRaw=586.4 | Change=1.9 => Floor
info,,,,,,,,,,,,Time=0.5s | BaseRaw=584.5 | CurrentRaw=587.2 | Change=2.7 => Floor
info,,,,,,,,,,,,Time=0.6s | BaseRaw=584.5 | CurrentRaw=586.8 | Change=2.3 => Floor
info,,,,,,,,,,,,Time=0.7s | BaseRaw=584.5 | CurrentRaw=587.0 | Change=2.5 => Floor
info,,,,,,,,,,,,Time=0.8s | BaseRaw=584.5 | CurrentRaw=588.2 | Change=3.7 => Floor
info,,,,,,,,,,,,Time=0.9s | BaseRaw=584.5 | CurrentRaw=587.2 | Change=2.7 => Floor
info,,,,,,,,,,,,Time=1.0s | BaseRaw=584.5 | CurrentRaw=585.8 | Change=1.3 => Floor
info,,,,,,,,,,,,Time=1.1s | BaseRaw=584.5 | CurrentRaw=586.8 | Change=2.3 => Floor
info,,,,,,,,,,,,Time=1.2s | BaseRaw=584.5 | CurrentRaw=587.0 | Change=2.5 => Floor
info,,,,,,,,,,,,Time=1.3s | BaseRaw=584.5 | CurrentRaw=585.8 | Change=1.3 => Floor
info,,,,,,,,,,,,Time=1.4s | BaseRaw=584.5 | CurrentRaw=585.8 | Change=1.3 => Floor
info,,,,,,,,,,,,Time=1.5s | BaseRaw=584.5 | CurrentRaw=585.6 | Change=1.1 => Floor
info,,,,,,,,,,,,Time=1.6s | BaseRaw=584.5 | CurrentRaw=584.4 | Change=0.1 => Floor
info,,,,,,,,,,,,Time=1.7s | BaseRaw=584.5 | CurrentRaw=584.8 | Change=0.3 => Floor
info,,,,,,,,,,,,Time=1.8s | BaseRaw=584.5 | CurrentRaw=585.4 | Change=0.9 => Floor
info,,,,,,,,,,,,Time=1.9s | BaseRaw=584.5 | CurrentRaw=585.0 | Change=0.5 => Floor
info,,,,,,,,,,,,Time=2.0s | BaseRaw=584.5 | CurrentRaw=585.4 | Change=0.9 => Floor
info,,,,,,,,,,,,Time=2.1s | BaseRaw=584.5 | CurrentRaw=585.0 | Change=0.5 => Floor
info,,,,,,,,,,,,Time=2.2s | BaseRaw=584.5 | CurrentRaw=585.2 | Change=0.7 => Floor
info,,,,,,,,,,,,Time=2.3s | BaseRaw=584.5 | CurrentRaw=585.4 | Change=0.9 => Floor
info,,,,,,,,,,,,Time=2.4s | BaseRaw=584.5 | CurrentRaw=585.8 | Change=1.3 => Floor
info,,,,,,,,,,,,Time=2.5s | BaseRaw=584.5 | CurrentRaw=586.2 | Change=1.7 => Floor
info,,,,,,,,,,,,Time=2.6s | BaseRaw=584.5 | CurrentRaw=587.6 | Change=3.1 => Floor
info,,,,,,,,,,,,Time=2.7s | BaseRaw=584.5 | CurrentRaw=587.2 | Change=2.7 => Floor
info,,,,,,,,,,,,Time=2.8s | BaseRaw=584.5 | CurrentRaw=587.2 | Change=2.7 => Floor
info,,,,,,,,,,,,Time=2.9s | BaseRaw=584.5 | CurrentRaw=586.8 | Change=2.3 => Floor
info,,,,,,,,,,,,Time=3.0s | BaseRaw=584.5 | CurrentRaw=586.6 | Change=2.1 => Floor
info,,,,,,,,,,,,Time=3.1s | BaseRaw=584.5 | CurrentRaw=586.2 | Change=1.7 => Floor
info,,,,,,,,,,,,Time=3.2s | BaseRaw=584.5 | CurrentRaw=585.8 | Change=1.3 => Floor
info,,,,,,,,,,,,Time=3.3s | BaseRaw=584.5 | CurrentRaw=585.8 | Change=1.3 => Floor
info,,,,,,,,,,,,Time=3.4s | BaseRaw=584.5 | CurrentRaw=585.8 | Change=1.3 => Floor
info,,,,,,,,,,,,Time=3.5s | BaseRaw=584.5 | CurrentRaw=586.0 | Change=1.5 => Floor
info,,,,,,,,,,,,Time=3.6s | BaseRaw=584.5 | CurrentRaw=586.4 | Change=1.9 => Floor
info,,,,,,,,,,,,Time=3.7s | BaseRaw=584.5 | CurrentRaw=585.6 | Change=1.1 => Floor
info,,,,,,,,,,,,Time=3.8s | BaseRaw=584.5 | CurrentRaw=585.0 | Change=0.5 => Floor
info,,,,,,,,,,,,Time=3.9s | BaseRaw=584.5 | CurrentRaw=585.2 | Change=0.7 => Floor
info,,,,,,,,,,,,Time=4.0s | BaseRaw=584.5 | CurrentRaw=585.0 | Change=0.5 => Floor
info,,,,,,,,,,,,Time=4.1s | BaseRaw=584.5 | CurrentRaw=584.6 | Change=0.1 => Floor
info,,,,,,,,,,,,Time=4.2s | BaseRaw=584.5 | CurrentRaw=585.0 | Change=0.5 => Floor
info,,,,,,,,,,,,Time=4.3s | BaseRaw=584.5 | CurrentRaw=585.4 | Change=0.9 => Floor
info,,,,,,,,,,,,Time=4.4s | BaseRaw=584.5 | CurrentRaw=584.8 | Change=0.3 => Floor
info,,,,,,,,,,,,Time=4.5s | BaseRaw=584.5 | CurrentRaw=585.0 | Change=0.5 => Floor
info,,,,,,,,,,,,Time=4.6s | BaseRaw=584.5 | CurrentRaw=585.0 | Change=0.5 => Floor
info,,,,,,,,,,,,Time=4.7s | BaseRaw=584.5 | CurrentRaw=585.8 | Change=1.3 => Floor
info,,,,,,,,,,,,Time=4.8s | BaseRaw=584.5 | CurrentRaw=585.6 | Change=1.1 => Floor
info,,,,,,,,,,,,Time=4.9s | BaseRaw=584.5 | CurrentRaw=585.0 | Change=0.5 => Floor
info,,,,,,,,,,,,Time=5.0s | BaseRaw=584.5 | CurrentRaw=584.6 | Change=0.1 => Floor
info,,,,,,,,,,,,Time=5.1s | BaseRaw=584.5 | CurrentRaw=584.6 | Change=0.1 => Floor
info,,,,,,,,,,,,Time=5.2s | BaseRaw=584.5 | CurrentRaw=584.2 | Change=0.3 => Floor
info,,,,,,,,,,,,Time=5.3s | BaseRaw=584.5 | CurrentRaw=584.0 | Change=0.5 => Floor
info,,,,,,,,,,,,Time=5.4s | BaseRaw=584.5 | CurrentRaw=584.0 | Change=0.5 => Floor
info,,,,,,,,,,,,Time=5.5s | BaseRaw=584.5 | CurrentRaw=584.0 | Change=0.5 => Floor
info,,,,,,,,,,,,Time=5.6s | BaseRaw=584.5 | CurrentRaw=584.6 | Change=0.1 => Floor
info,,,,,,,,,,,,Time=5.7s | BaseRaw=584.5 | CurrentRaw=584.2 | Change=0.3 => Floor
info,,,,,,,,,,,,Time=5.8s | BaseRaw=584.5 | CurrentRaw=584.4 | Change=0.1 => Floor
info,,,,,,,,,,,,Time=5.9s | BaseRaw=584.5 | CurrentRaw=585.6 | Change=1.1 => Floor
info,,,,,,,,,,,,Time=6.0s | BaseRaw=584.5 | CurrentRaw=584.4 | Change=0.1 => Floor
info,,,,,,,,,,,,Time=6.1s | BaseRaw=584.5 | CurrentRaw=584.4 | Change=0.1 => Floor
info,,,,,,,,,,,,Time=6.2s | BaseRaw=584.5 | CurrentRaw=584.4 | Change=0.1 => Floor
info,,,,,,,,,,,,Time=6.3s | BaseRaw=584.5 | CurrentRaw=584.6 | Change=0.1 => Floor
info,,,,,,,,,,,,Time=6.4s | BaseRaw=584.5 | CurrentRaw=583.2 | Change=1.3 => Floor
info,,,,,,,,,,,,Time=6.5s | BaseRaw=584.5 | CurrentRaw=581.6 | Change=2.9 => Floor
info,,,,,,,,,,,,Time=6.6s | BaseRaw=584.5 | CurrentRaw=577.0 | Change=7.5 => Floor
info,,,,,,,,,,,,Time=6.7s | BaseRaw=584.5 | CurrentRaw=575.2 | Change=9.3 => Floor
info,,,,,,,,,,,,Time=6.8s | BaseRaw=584.5 | CurrentRaw=573.8 | Change=10.7 => Liquid
info,,,,,,,,,,,,Time=6.9s | BaseRaw=584.5 | CurrentRaw=573.0 | Change=11.5 => Liquid
info,,,,,,,,,,,,Time=7.0s | BaseRaw=584.5 | CurrentRaw=576.2 | Change=8.3 => Floor
info,,,,,,,,,,,,Time=7.1s | BaseRaw=584.5 | CurrentRaw=578.4 | Change=6.1 => Floor
info,,,,,,,,,,,,Time=7.2s | BaseRaw=584.5 | CurrentRaw=575.6 | Change=8.9 => Floor
info,,,,,,,,,,,,Time=7.3s | BaseRaw=584.5 | CurrentRaw=573.0 | Change=11.5 => Liquid
