record_type,time_s,raw_on,raw_off,net_raw,avg_on,avg_off,net_avg,baseline,change,label,raw_line
info,,,,,,,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,,,,,,,START received
info,,,,,,,,,,,,Collecting baseline... RawAvg=587.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=586.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=585.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=584.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=585.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=585.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=585.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=585.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=584.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=585.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=585.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=586.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=588.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=589.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=589.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=589.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=588.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=587.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=587.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=586.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=586.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=586.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=586.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=586.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=586.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=585.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=585.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=585.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=585.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=585.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=586.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=585.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=585.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=585.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=585.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=585.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=586.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=587.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=588.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=588.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=588.00
info,,,,,,,,,,,,Collecting baseline... RawAvg=588.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=588.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=588.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=589.60
info,,,,,,,,,,,,Collecting baseline... RawAvg=590.40
info,,,,,,,,,,,,Collecting baseline... RawAvg=590.80
info,,,,,,,,,,,,Collecting baseline... RawAvg=591.20
info,,,,,,,,,,,,Collecting baseline... RawAvg=590.20
info,,,,,,,,,,,,Baseline collection complete! Starting detection.
info,,,,,,,,,,,,Final Base Raw Average = 586.96
info,,,,,,,,,,,,--------------------------------------------------------------------------
info,,,,,,,,,,,,Time=0.1s | BaseRaw=587.0 | CurrentRaw=588.4 | Change=1.4 => Floor
info,,,,,,,,,,,,Time=0.2s | BaseRaw=587.0 | CurrentRaw=587.4 | Change=0.4 => Floor
info,,,,,,,,,,,,Time=0.3s | BaseRaw=587.0 | CurrentRaw=587.8 | Change=0.8 => Floor
info,,,,,,,,,,,,Time=0.4s | BaseRaw=587.0 | CurrentRaw=587.6 | Change=0.6 => Floor
info,,,,,,,,,,,,Time=0.5s | BaseRaw=587.0 | CurrentRaw=587.2 | Change=0.2 => Floor
info,,,,,,,,,,,,Time=0.6s | BaseRaw=587.0 | CurrentRaw=587.4 | Change=0.4 => Floor
info,,,,,,,,,,,,Time=0.7s | BaseRaw=587.0 | CurrentRaw=588.0 | Change=1.0 => Floor
info,,,,,,,,,,,,Time=0.8s | BaseRaw=587.0 | CurrentRaw=587.0 | Change=0.0 => Floor
info,,,,,,,,,,,,Time=0.9s | BaseRaw=587.0 | CurrentRaw=586.8 | Change=0.2 => Floor
info,,,,,,,,,,,,Time=1.0s | BaseRaw=587.0 | CurrentRaw=587.4 | Change=0.4 => Floor
info,,,,,,,,,,,,Time=1.1s | BaseRaw=587.0 | CurrentRaw=587.6 | Change=0.6 => Floor
info,,,,,,,,,,,,Time=1.2s | BaseRaw=587.0 | CurrentRaw=587.6 | Change=0.6 => Floor
info,,,,,,,,,,,,Time=1.3s | BaseRaw=587.0 | CurrentRaw=587.4 | Change=0.4 => Floor
info,,,,,,,,,,,,Time=1.4s | BaseRaw=587.0 | CurrentRaw=587.2 | Change=0.2 => Floor
info,,,,,,,,,,,,Time=1.5s | BaseRaw=587.0 | CurrentRaw=587.0 | Change=0.0 => Floor
info,,,,,,,,,,,,Time=1.6s | BaseRaw=587.0 | CurrentRaw=587.0 | Change=0.0 => Floor
info,,,,,,,,,,,,Time=1.7s | BaseRaw=587.0 | CurrentRaw=587.0 | Change=0.0 => Floor
info,,,,,,,,,,,,Time=1.8s | BaseRaw=587.0 | CurrentRaw=587.0 | Change=0.0 => Floor
info,,,,,,,,,,,,Time=1.9s | BaseRaw=587.0 | CurrentRaw=587.0 | Change=0.0 => Floor
info,,,,,,,,,,,,Time=2.0s | BaseRaw=587.0 | CurrentRaw=588.4 | Change=1.4 => Floor
info,,,,,,,,,,,,Time=2.1s | BaseRaw=587.0 | CurrentRaw=588.4 | Change=1.4 => Floor
info,,,,,,,,,,,,Time=2.2s | BaseRaw=587.0 | CurrentRaw=588.2 | Change=1.2 => Floor
info,,,,,,,,,,,,Time=2.3s | BaseRaw=587.0 | CurrentRaw=588.0 | Change=1.0 => Floor
info,,,,,,,,,,,,Time=2.4s | BaseRaw=587.0 | CurrentRaw=589.0 | Change=2.0 => Floor
info,,,,,,,,,,,,Time=2.5s | BaseRaw=587.0 | CurrentRaw=587.8 | Change=0.8 => Floor
info,,,,,,,,,,,,Time=2.6s | BaseRaw=587.0 | CurrentRaw=587.0 | Change=0.0 => Floor
info,,,,,,,,,,,,Time=2.7s | BaseRaw=587.0 | CurrentRaw=586.4 | Change=0.6 => Floor
info,,,,,,,,,,,,Time=2.8s | BaseRaw=587.0 | CurrentRaw=586.8 | Change=0.2 => Floor
info,,,,,,,,,,,,Time=2.9s | BaseRaw=587.0 | CurrentRaw=586.4 | Change=0.6 => Floor
info,,,,,,,,,,,,Time=3.0s | BaseRaw=587.0 | CurrentRaw=586.0 | Change=1.0 => Floor
info,,,,,,,,,,,,Time=3.1s | BaseRaw=587.0 | CurrentRaw=585.6 | Change=1.4 => Floor
info,,,,,,,,,,,,Time=3.2s | BaseRaw=587.0 | CurrentRaw=585.4 | Change=1.6 => Floor
info,,,,,,,,,,,,Time=3.3s | BaseRaw=587.0 | CurrentRaw=585.4 | Change=1.6 => Floor
info,,,,,,,,,,,,Time=3.4s | BaseRaw=587.0 | CurrentRaw=585.6 | Change=1.4 => Floor
info,,,,,,,,,,,,Time=3.5s | BaseRaw=587.0 | CurrentRaw=586.0 | Change=1.0 => Floor
info,,,,,,,,,,,,Time=3.6s | BaseRaw=587.0 | CurrentRaw=585.8 | Change=1.2 => Floor
info,,,,,,,,,,,,Time=3.7s | BaseRaw=587.0 | CurrentRaw=587.4 | Change=0.4 => Floor
info,,,,,,,,,,,,Time=3.8s | BaseRaw=587.0 | CurrentRaw=587.2 | Change=0.2 => Floor
info,,,,,,,,,,,,Time=3.9s | BaseRaw=587.0 | CurrentRaw=587.2 | Change=0.2 => Floor
info,,,,,,,,,,,,Time=4.0s | BaseRaw=587.0 | CurrentRaw=587.6 | Change=0.6 => Floor
info,,,,,,,,,,,,Time=4.1s | BaseRaw=587.0 | CurrentRaw=587.6 | Change=0.6 => Floor
info,,,,,,,,,,,,Time=4.2s | BaseRaw=587.0 | CurrentRaw=585.6 | Change=1.4 => Floor
info,,,,,,,,,,,,Time=4.3s | BaseRaw=587.0 | CurrentRaw=585.8 | Change=1.2 => Floor
info,,,,,,,,,,,,Time=4.4s | BaseRaw=587.0 | CurrentRaw=585.0 | Change=2.0 => Floor
info,,,,,,,,,,,,Time=4.5s | BaseRaw=587.0 | CurrentRaw=585.0 | Change=2.0 => Floor
info,,,,,,,,,,,,Time=4.6s | BaseRaw=587.0 | CurrentRaw=586.0 | Change=1.0 => Floor
info,,,,,,,,,,,,Time=4.7s | BaseRaw=587.0 | CurrentRaw=586.4 | Change=0.6 => Floor
info,,,,,,,,,,,,Time=4.8s | BaseRaw=587.0 | CurrentRaw=587.4 | Change=0.4 => Floor
info,,,,,,,,,,,,Time=4.9s | BaseRaw=587.0 | CurrentRaw=586.4 | Change=0.6 => Floor
info,,,,,,,,,,,,Time=5.0s | BaseRaw=587.0 | CurrentRaw=586.4 | Change=0.6 => Floor
info,,,,,,,,,,,,Time=5.1s | BaseRaw=587.0 | CurrentRaw=585.6 | Change=1.4 => Floor
info,,,,,,,,,,,,Time=5.2s | BaseRaw=587.0 | CurrentRaw=586.4 | Change=0.6 => Floor
info,,,,,,,,,,,,Time=5.3s | BaseRaw=587.0 | CurrentRaw=586.2 | Change=0.8 => Floor
info,,,,,,,,,,,,Time=5.4s | BaseRaw=587.0 | CurrentRaw=587.6 | Change=0.6 => Floor
info,,,,,,,,,,,,Time=5.5s | BaseRaw=587.0 | CurrentRaw=587.6 | Change=0.6 => Floor
info,,,,,,,,,,,,Time=5.6s | BaseRaw=587.0 | CurrentRaw=585.8 | Change=1.2 => Floor
info,,,,,,,,,,,,Time=5.7s | BaseRaw=587.0 | CurrentRaw=583.8 | Change=3.2 => Floor
info,,,,,,,,,,,,Time=5.8s | BaseRaw=587.0 | CurrentRaw=581.0 | Change=6.0 => Floor
info,,,,,,,,,,,,Time=5.9s | BaseRaw=587.0 | CurrentRaw=577.6 | Change=9.4 => Floor
info,,,,,,,,,,,,Time=6.0s | BaseRaw=587.0 | CurrentRaw=574.2 | Change=12.8 => Liquid
info,,,,,,,,,,,,Time=6.1s | BaseRaw=587.0 | CurrentRaw=576.0 | Change=11.0 => Liquid
info,,,,,,,,,,,,Time=6.2s | BaseRaw=587.0 | CurrentRaw=576.2 | Change=10.8 => Liquid
info,,,,,,,,,,,,Time=6.3s | BaseRaw=587.0 | CurrentRaw=578.8 | Change=8.2 => Floor
info,,,,,,,,,,,,Time=6.4s | BaseRaw=587.0 | CurrentRaw=579.6 | Change=7.4 => Floor
info,,,,,,,,,,,,Time=6.5s | BaseRaw=587.0 | CurrentRaw=580.0 | Change=7.0 => Floor
info,,,,,,,,,,,,Time=6.6s | BaseRaw=587.0 | CurrentRaw=577.6 | Change=9.4 => Floor
info,,,,,,,,,,,,Time=6.7s | BaseRaw=587.0 | CurrentRaw=575.8 | Change=11.2 => Liquid
info,,,,,,,,,,,,Time=6.8s | BaseRaw=587.0 | CurrentRaw=570.6 | Change=16.4 => Liquid
info,,,,,,,,,,,,Time=6.9s | BaseRaw=587.0 | CurrentRaw=569.4 | Change=17.6 => Liquid
info,,,,,,,,,,,,Time=7.0s | BaseRaw=587.0 | CurrentRaw=567.2 | Change=19.8 => Liquid
info,,,,,,,,,,,,Time=7.1s | BaseRaw=587.0 | CurrentRaw=566.4 | Change=20.6 => Liquid
info,,,,,,,,,,,,Time=7.2s | BaseRaw=587.0 | CurrentRaw=564.6 | Change=22.4 => Liquid
info,,,,,,,,,,,,Time=7.3s | BaseRaw=587.0 | CurrentRaw=565.0 | Change=22.0 => Liquid
